"Date","label","N","nff","HS","SSI","GL"
"09/05/2012","Tremie12",8,13,13,9.18953785940087,3.81046214059913
"09/05/2012","Tremie12",5,13,13,9.05529479570756,3.94470520429244
"09/05/2012","Tremie12",15,13,13,NA,NA
"09/05/2012","Tremie12",12,13,13,9.09774975819515,3.90225024180485
"09/05/2012","Tremie12",9,13,13,8.67323314852428,4.32676685147572
"09/05/2012","Tremie12",19,13,13,8.28049900319087,4.71950099680913
"09/05/2012","Tremie12",16,13,13,8.40434917608464,4.59565082391536
"09/05/2012","Tremie12",13,13,13,7.48135697853779,5.51864302146221
"09/05/2012","Tremie12",27,13,13,8.79026208249734,4.20973791750266
"09/05/2012","Tremie12",24,13,13,9.01474340803685,3.98525659196315
"09/05/2012","Tremie12",17,13,13,8.2544043567316,4.7455956432684
"09/05/2012","Tremie12",14,13,13,9.2791532412895,3.7208467587105
"09/05/2012","Tremie12",28,13,13,8.24674089619685,4.75325910380315
"09/05/2012","Tremie12",25,12,12,7.43193227902256,4.56806772097744
"09/05/2012","Tremie12",18,13,13,8.25177001057388,4.74822998942612
"09/05/2012","Tremie12",22,13,13,9.09237014062003,3.90762985937997
"09/05/2012","Tremie12",29,13,13,8.16715843350148,4.83284156649852
"09/05/2012","Tremie12",26,13,13,8.40316919191919,4.59683080808081
"09/05/2012","Tremie12",23,13,13,8.13576513026175,4.86423486973825
"09/05/2012","Tremie12",30,13,13,9.24269949703476,3.75730050296524
"11/04/2012","Tremie12",7,NA,10.9603993521702,7.33688108757649,3.62351826459376
"11/04/2012","Tremie12",25,NA,12.8191073164511,8.18166039984557,4.63744691660554
"11/04/2012","Tremie12",1,NA,11.3525533482944,7.61532877501981,3.73722457327455
"11/04/2012","Tremie12",8,NA,10.7069902408821,7.27387404335135,3.43311619753078
"11/04/2012","Tremie12",9,NA,12.1011261348172,NA,NA
"11/04/2012","Tremie12",6,NA,12.6128113039196,8.15829357442849,4.45451772949113
"11/04/2012","Tremie12",2,NA,NA,8.28573656073582,NA
"11/04/2012","Tremie12",11,NA,12.1848527905649,7.53787134135495,4.64698144920993
"11/04/2012","Tremie12",10,NA,11.3816389706304,7.86639211417732,3.5152468564531
"11/04/2012","Tremie12",20,NA,12.9478644210673,NA,NA
"11/04/2012","Tremie12",16,NA,11.427728555086,7.90284518938086,3.52488336570513
"11/04/2012","Tremie12",12,NA,10.6950285763132,NA,NA
"11/04/2012","Tremie12",21,NA,NA,7.26209864808213,NA
"11/04/2012","Tremie12",26,NA,11.542803371394,7.21706656503921,4.3257368063548
"11/04/2012","Tremie12",17,NA,11.9843122150727,7.85124854756116,4.13306366751156
"11/04/2012","Tremie12",5,NA,10.8235398106105,6.87407996662149,3.94945984398902
"11/04/2012","Tremie12",29,NA,10.8070322524584,NA,NA
"11/04/2012","Tremie12",27,NA,10.9409106304472,6.80767097559369,4.13323965485348
