id_plt,id_cohort_axis,N_phytomer,TT_stop_axis,TT_del_axis,id_dim,id_phen,id_ear,TT_em_phytomer1,TT_col_phytomer1,TT_sen_phytomer1,TT_del_phytomer1
1.0,1.0,11.0,NA,NA,111.0,111.0,1.0,18.9277931633,201.130029609,649.040637163,990.6698305
1.0,4.0,8.0,NA,NA,408.0,408.0,1.0,281.888100854,478.726409048,789.21834948,1158.29017734
1.0,5.0,8.0,NA,NA,508.0,508.0,1.0,383.12383328,566.086084006,854.68998827,1197.74420838
1.0,6.0,7.0,1228.0,1828.0,607.0,607.0,1.0,507.406131573,682.66673701,1013.23503813,1341.84867333
1.0,7.0,6.0,924.0,1524.0,706.0,706.0,1.0,643.28418694,812.159294929,1157.74732337,1474.38815085
2.0,1.0,11.0,NA,NA,111.0,111.0,1.0,21.0286980662,203.230934512,651.141542066,992.770735403
2.0,4.0,8.0,NA,NA,408.0,408.0,1.0,283.989005757,480.827313951,791.319254383,1160.39108225
2.0,5.0,7.0,NA,NA,507.0,507.0,1.0,377.707639626,580.715486505,910.596147784,1291.23586068
3.0,1.0,12.0,NA,NA,112.0,112.0,1.0,26.2421420448,196.81444889,659.255568797,979.078651196
3.0,4.0,9.0,NA,NA,409.0,409.0,1.0,291.26602965,470.97153445,754.438261042,1091.38608254
3.0,5.0,9.0,1378.0,1978.0,509.0,509.0,1.0,391.923593014,559.29482451,823.305518953,1137.12657801
3.0,6.0,8.0,1180.0,1780.0,608.0,608.0,1.0,516.57570571,675.259120174,929.849065045,1227.38046716
4.0,1.0,11.0,NA,NA,111.0,111.0,1.0,27.6137082304,209.815944676,657.72655223,999.355745567
4.0,4.0,8.0,NA,NA,408.0,408.0,1.0,290.574015922,487.412324116,797.904264547,1166.97609241
4.0,5.0,8.0,1380.0,1980.0,508.0,508.0,1.0,391.809748347,574.771999073,863.375903337,1206.43012345
4.0,6.0,7.0,1184.0,1784.0,607.0,607.0,1.0,516.09204664,691.352652077,1021.9209532,1350.53458839
4.0,7.0,6.0,916.0,1516.0,706.0,706.0,1.0,651.970102007,820.845209997,1166.43323844,1483.07406592
5.0,1.0,12.0,NA,NA,112.0,112.0,1.0,23.2019739642,193.77428081,656.215400716,976.038483115
5.0,4.0,9.0,NA,NA,409.0,409.0,1.0,288.225861569,467.93136637,751.398092962,1088.34591446
5.0,5.0,9.0,NA,NA,509.0,509.0,1.0,388.883424934,556.254656429,820.265350872,1134.08640993
5.0,6.0,8.0,1205.0,1805.0,608.0,608.0,1.0,513.53553763,672.218952094,926.808896964,1224.34029908
6.0,1.0,11.0,NA,NA,111.0,111.0,1.0,28.5611706606,210.763407107,658.674014661,1000.303208
6.0,4.0,8.0,NA,NA,408.0,408.0,1.0,291.521478352,488.359786546,798.851726977,1167.92355484
6.0,5.0,8.0,1370.0,1970.0,508.0,508.0,1.0,392.757210778,575.719461503,864.323365767,1207.37758588
6.0,6.0,7.0,1176.0,1776.0,607.0,607.0,1.0,517.03950907,692.300114507,1022.86841563,1351.48205082
6.0,6.0,7.0,1175.0,1775.0,607.0,607.0,1.0,517.03950907,692.300114507,1022.86841563,1351.48205082
7.0,1.0,12.0,NA,NA,112.0,112.0,1.0,43.916460823,214.488767668,676.929887575,996.752969974
7.0,4.0,9.0,NA,NA,409.0,409.0,1.0,308.940348428,488.645853228,772.112579821,1109.06040132
7.0,5.0,9.0,1261.0,1861.0,509.0,509.0,1.0,409.597911792,576.969143288,840.979837731,1154.80089678
7.0,6.0,8.0,986.0,1586.0,608.0,608.0,1.0,534.250024489,692.933438952,947.523383823,1245.05478594
7.0,6.0,8.0,985.0,1585.0,608.0,608.0,1.0,534.250024489,692.933438952,947.523383823,1245.05478594
