variety;date;bloc;plant;num_leaf_bottom;num_leaf_top;green;septo_green;necro;obs_affected_surf
mercia;01/19/2011;1;1;1;12;100;0;0;0
mercia;01/19/2011;1;2;1;12;98;0;2;0
mercia;01/19/2011;1;3;1;12;100;0;0;0
mercia;01/19/2011;1;4;1;12;100;0;0;0
mercia;01/19/2011;1;5;1;12;75;5;20;0
mercia;01/19/2011;1;6;1;12;90;10;0;0
mercia;01/19/2011;1;7;1;12;88;2;10;0
mercia;01/19/2011;1;8;1;12;99;0;1;0
mercia;01/19/2011;1;9;1;12;97;2;1;0
mercia;01/19/2011;1;10;1;12;99;0;1;0
mercia;01/19/2011;1;11;1;12;100;0;0;0
mercia;01/19/2011;1;12;1;12;100;0;0;0
mercia;01/19/2011;2;13;1;12;100;0;0;0
mercia;01/19/2011;2;14;1;12;97;1;2;0
mercia;01/19/2011;2;15;1;12;100;0;0;0
mercia;01/19/2011;2;16;1;12;97;3;0;0
mercia;01/19/2011;2;17;1;12;100;0;0;0
mercia;01/19/2011;2;18;1;12;98;2;0;0
mercia;01/19/2011;2;19;1;12;100;0;0;0
mercia;01/19/2011;2;20;1;12;100;0;0;0
mercia;01/19/2011;2;21;1;12;100;0;0;0
mercia;01/19/2011;2;22;1;12;99;1;0;0
mercia;01/19/2011;2;23;1;12;95;5;0;0
mercia;01/19/2011;2;24;1;12;98;0;2;0
mercia;01/19/2011;3;25;1;12;50;0;50;0
mercia;01/19/2011;3;26;1;12;100;0;0;0
mercia;01/19/2011;3;27;1;12;95;5;0;0
mercia;01/19/2011;3;28;1;12;97;3;0;0
mercia;01/19/2011;3;29;1;12;99;0;1;0
mercia;01/19/2011;3;30;1;12;98;2;0;0
mercia;01/19/2011;3;31;1;12;75;5;20;0
mercia;01/19/2011;3;32;1;12;97;3;0;0
mercia;01/19/2011;3;33;1;12;96;4;0;0
mercia;01/19/2011;3;34;1;12;97;3;0;0
mercia;01/19/2011;3;35;1;12;98;2;0;0
mercia;01/19/2011;3;36;1;12;97;0;3;0
mercia;01/19/2011;1;1;2;11;98;2;0;0
mercia;01/19/2011;1;2;2;11;90;0;10;0
mercia;01/19/2011;1;3;2;11;94;2;4;0
mercia;01/19/2011;1;4;2;11;98;2;0;0
mercia;01/19/2011;1;5;2;11;100;0;0;0
mercia;01/19/2011;1;6;2;11;98;2;0;0
mercia;01/19/2011;1;7;2;11;98;2;0;0
mercia;01/19/2011;1;8;2;11;100;0;0;0
mercia;01/19/2011;1;9;2;11;100;0;0;0
mercia;01/19/2011;1;10;2;11;97;2;1;0
mercia;01/19/2011;1;11;2;11;100;0;0;0
mercia;01/19/2011;1;12;2;11;100;0;0;0
mercia;01/19/2011;2;13;2;11;100;0;0;0
mercia;01/19/2011;2;14;2;11;99;1;0;0
mercia;01/19/2011;2;15;2;11;91;0;9;0
mercia;01/19/2011;2;16;2;11;100;0;0;0
mercia;01/19/2011;2;17;2;11;98;2;0;0
mercia;01/19/2011;2;18;2;11;99;1;0;0
mercia;01/19/2011;2;19;2;11;99;1;0;0
mercia;01/19/2011;2;20;2;11;98;2;0;0
mercia;01/19/2011;2;21;2;11;99;1;0;0
mercia;01/19/2011;2;22;2;11;99;1;0;0
mercia;01/19/2011;2;23;2;11;100;0;0;0
mercia;01/19/2011;2;24;2;11;97;0;3;0
mercia;01/19/2011;3;25;2;11;98;2;0;0
mercia;01/19/2011;3;26;2;11;99;1;0;0
mercia;01/19/2011;3;27;2;11;100;0;0;0
mercia;01/19/2011;3;28;2;11;99;1;0;0
mercia;01/19/2011;3;29;2;11;100;0;0;0
mercia;01/19/2011;3;30;2;11;100;0;0;0
mercia;01/19/2011;3;31;2;11;90;0;10;0
mercia;01/19/2011;3;32;2;11;100;0;0;0
mercia;01/19/2011;3;33;2;11;100;0;0;0
mercia;01/19/2011;3;34;2;11;98;2;0;0
mercia;01/19/2011;3;35;2;11;99;1;0;0
mercia;01/19/2011;3;36;2;11;100;0;0;0
mercia;01/19/2011;1;1;3;10;97;3;0;0
mercia;01/19/2011;1;2;3;10;100;0;0;0
mercia;01/19/2011;1;3;3;10;100;0;0;0
mercia;01/19/2011;1;4;3;10;100;0;0;0
mercia;01/19/2011;1;5;3;10;100;0;0;0
mercia;01/19/2011;1;6;3;10;100;0;0;0
mercia;01/19/2011;1;7;3;10;100;0;0;0
mercia;01/19/2011;1;8;3;10;100;0;0;0
mercia;01/19/2011;1;9;3;10;100;0;0;0
mercia;01/19/2011;1;10;3;10;100;0;0;0
mercia;01/19/2011;1;11;3;10;99;0;1;0
mercia;01/19/2011;1;12;3;10;100;0;0;0
mercia;01/19/2011;2;13;3;10;100;0;0;0
mercia;01/19/2011;2;14;3;10;100;0;0;0
mercia;01/19/2011;2;15;3;10;100;0;0;0
mercia;01/19/2011;2;16;3;10;100;0;0;0
mercia;01/19/2011;2;17;3;10;100;0;0;0
mercia;01/19/2011;2;18;3;10;100;0;0;0
mercia;01/19/2011;2;19;3;10;100;0;0;0
mercia;01/19/2011;2;20;3;10;100;0;0;0
