nff;rank;ranktop;HS;TTem;TTlig
12;1;12;182.7827069;43.39619225;214.9488256
12;2;11;290.0031027;150.6165881;322.1692215
12;3;10;397.2234986;257.8369839;429.3896173
12;4;9;504.4438944;365.0573798;536.6100132
12;5;8;611.6642903;472.2777756;643.830409
12;6;7;718.8846861;579.4981715;751.0508049
12;7;6;826.105082;686.7185673;858.2712007
12;8;5;933.3254778;793.9389632;965.4915966
12;9;4;1040.545874;901.1593591;1072.711992
12;10;3;1147.76627;1008.379755;1179.932388
12;11;2;1254.986665;1115.600151;1287.152784
12;12;1;1362.207061;1222.820547;1394.37318
13;1;13;243.2372473;114.5727723;272.9290493
13;2;12;342.2099204;213.5454454;371.9017224
13;3;11;441.1825935;312.5181185;470.8743955
13;4;10;540.1552666;411.4907916;569.8470686
13;5;9;639.1279397;510.4634647;668.8197416
13;6;8;738.1006128;609.4361378;767.7924147
13;7;7;837.0732859;708.4088109;866.7650878
13;8;6;936.045959;807.381484;965.7377609
13;9;5;1035.018632;906.3541571;1064.710434
13;10;4;1133.991305;1005.32683;1163.683107
13;11;3;1232.963978;1104.299503;1262.65578
13;12;2;1331.936651;1203.272176;1361.628453
13;13;1;1430.909324;1302.244849;1460.601126
