"variety" "rank" "nmax" "L_blade" "W_blade" "A_bl" "nobs" "sd_L_blade" "sd_W_blade" "sd_A_bl"
"Mercia" 1 11 7.76455 0.53353 3.61765 4 1.18808168770782 0.0279037309333358 0.571375069459632
"Mercia" 2 11 9.6097 0.497118 3.8108 5 1.32304448526873 0.0241353831541991 0.482093865341595
"Mercia" 3 11 9.76022 0.529932 4.11162 5 1.4540074903521 0.021536243172847 0.694443847261965
"Mercia" 4 11 6.3754 0.51601 2.7344 1 NA NA NA
"Mercia" 5 11 8.25665 0.69423 4.6512 2 0.152098668633226 0.0706541095761598 0.388767308296364
"Mercia" 6 11 9.45043333333333 0.861206666666667 6.49923333333333 3 0.308769255809793 0.0740803862930893 0.427065619470045
"Mercia" 7 11 11.5826666666667 1.03075333333333 9.7757 3 2.35019536280143 0.152481390777148 3.11922774256706
"Mercia" 8 11 15.4488 1.16173333333333 14.5645333333333 3 1.03509087040704 0.159245261572624 3.14132248636356
"Mercia" 9 11 17.800775 1.42575 19.70565 4 0.429758741427482 0.077820926919863 1.20545695485156
"Mercia" 10 11 20.97495 1.561125 25.785925 4 1.42968654256799 0.0448835808880412 1.58721362850122
"Mercia" 11 11 19.809175 1.7948 26.685675 4 1.93932938645468 0.0655054196231121 3.03442213210907
"Mercia" 1 12 6.556625 0.485921666666667 2.77305833333333 12 0.861541303948389 0.0654791196188572 0.566708306335541
"Mercia" 2 12 7.90219285714286 0.481232857142857 3.06347857142857 14 0.83503464549432 0.0541021966607317 0.44169215903347
"Mercia" 3 12 8.1801 0.515461428571429 3.29037857142857 14 0.690015842627489 0.048714641908401 0.429654600416824
"Mercia" 4 12 6.578475 0.53316 2.89645 4 0.747225987123931 0.0298427690851011 0.398872682276772
"Mercia" 5 12 7.09981666666667 0.651528333333333 3.75845 6 0.460260745302776 0.0386732602280525 0.450764065781646
"Mercia" 6 12 7.91632 0.731935333333333 4.70358 15 1.2384687926168 0.0585990107018719 1.04223584882282
"Mercia" 7 12 9.45797272727273 0.883424545454545 6.81853636363636 11 2.14342227248431 0.0860735762430767 2.04447207331024
"Mercia" 8 12 13.20033 1.08975 11.95195 10 2.52791863883226 0.117052992367655 3.03702600371189
"Mercia" 9 12 17.57872 1.32255 18.39018 10 1.96579278652547 0.124996882183339 3.53109394311609
"Mercia" 10 12 18.4985230769231 1.41920769230769 21.1124384615385 13 2.01411520241265 0.115729141112185 3.84194263742065
"Mercia" 11 12 21.3274692307692 1.54608461538462 26.3798615384615 13 1.16010236070258 0.0674827242849833 2.1826155618655
"Mercia" 12 12 16.4232384615385 1.66475384615385 20.3356 13 1.5996945008024 0.0841700027264723 3.02332115175789
"Rht3" 1 11 7.28792 0.387717 2.44277 10 0.940353176914575 0.0334044780930142 0.315030266799874
"Rht3" 2 11 8.28478 0.37246 2.47476 5 0.733711058251134 0.0328143215684859 0.234653857841715
"Rht3" 3 11 8.76022857142857 0.45503 2.97107142857143 7 1.45192722236606 0.0264559678207646 0.374793986585901
"Rht3" 4 11 6.1053 0.5084 2.3196 1 NA NA NA
"Rht3" 5 11 7.31416153846154 0.597451538461538 3.56957692307692 13 0.438864784678344 0.0283462830738452 0.333825596067383
"Rht3" 6 11 8.09151176470588 0.693 4.51178235294118 17 0.638285817524517 0.0692890706569225 0.715543394242528
"Rht3" 7 11 10.9749636363636 0.964828181818182 8.64637272727273 11 1.48792416021296 0.0936904262791222 1.82591412508415
"Rht3" 8 11 13.5009333333333 1.12933333333333 12.5505666666667 3 2.00689531449285 0.0853836245033749 2.33938289583671
"Rht3" 9 11 16.00614 1.53413 19.11366 10 1.26574062833672 0.0639548981705076 1.97522922844132
"Rht3" 10 11 17.9133272727273 1.73632727272727 24.3163 11 0.745992871401475 0.0820827885845637 1.6885941258929
"Rht3" 11 11 15.2071333333333 1.9679 22.1886 9 1.45211445571621 0.152600294888313 3.45881298569321
"Rht3" 1 12 6.325725 0.3519675 1.94385 4 0.464524655786249 0.0226493566869643 0.204116396532305
"Rht3" 2 12 7.98458333333333 0.350651666666667 2.2316 6 1.08545823395775 0.0280801057096776 0.386407396409541
"Rht3" 3 12 7.879025 0.43541 2.63015 4 0.468895307255966 0.0261225458177414 0.31697798556577
"Rht3" 5 12 7.00876666666667 0.577286666666667 3.3279 3 0.701688323497928 0.0250017146078691 0.227920073710062
"Rht3" 6 12 6.64496666666667 0.657226666666667 3.48856666666667 3 0.679882227546311 0.0554620053129467 0.533029420701459
"Rht3" 7 12 9.79635 0.8506425 6.7195 4 0.750857472050011 0.0672250803272112 0.595804839411923
"Rht3" 8 12 14.80985 1.18755 14.1432 2 1.18221182746579 0.0504167134986009 1.26854956544867
"Rht3" 9 12 14.68505 1.3824 16.0588 2 0.0393858477120906 0.0384666088965482 1.0658927619606
"Rht3" 10 12 14.16178 1.48616 16.28072 5 2.31415464738206 0.167310125216617 4.36608225781421
"Rht3" 11 12 17.5514833333333 1.70138333333333 23.3355333333333 6 1.0353461245722 0.158854164775956 2.8865229128948
"Rht3" 12 12 14.0792 1.8291 18.0399 2 1.33374481067407 0.226132748623458 4.27856171160356
