,variety,HS,aire du plot,Nbr.plant.perplot,ThermalTime,LAI_tot,LAI_vert,PAI_tot,PAI_vert,LAI_tot_MS,LAI_vert_MS,PAI_tot_MS,PAI_vert_MS,LAI_tot_ferti,LAI_vert_ferti,PAI_tot_ferti,PAI_vert_ferti,TCgreen,TCsen,TCtot,TCgreen_57,TCsen_57,TCtot_57,Gapgreen,Gapsen,Gaptot,Gapgreen_57,Gapsen_57,Gaptot_57,LightPenetration_0,LightPenetration_5,LightPenetration_20,LightPenetration_25,LightInterception_0,LightInterception_5,LightInterception_20,LightInterception_25
0,Tremie13,2.7240666122934374,0.15147689977278467,30.0,400.0,0.1663711120280715,0.1663711120280715,0.2188809963484032,0.2188809963484032,0.15933233321721602,0.15933233321721602,0.21184221753754767,0.21184221753754767,0.1663711120280715,0.1663711120280715,0.2188809963484032,0.2188809963484032,0.04012526554831148,0.0,0.04012526554831148,0.13900820604011194,0.0,0.13900820604011194,0.9598747344516885,1.0,0.9598747344516885,0.8609917939598881,1.0,0.8609917939598881,0.876609,0.9140809999999999,1.000194,1.000337,0.12339100000000003,0.08591900000000008,-0.00019400000000002748,-0.0003370000000000317
1,Tremie13,2.943383269231848,0.15147689977278467,30.0,420.0,0.19205092934770635,0.19205092934770635,0.24458237195013324,0.24458237195013324,0.17661802904611573,0.17661802904611573,0.22914947164854266,0.22914947164854266,0.19205092934770635,0.19205092934770635,0.24458237195013324,0.24458237195013324,,,,,,,,,,,,,,,,,,,,
2,Tremie13,3.1626999261702577,0.15147689977278467,30.0,440.0,0.2217273798061655,0.2217273798061655,0.27457574954845787,0.27457574954845787,0.1951602417826252,0.1951602417826252,0.2480086115249176,0.2480086115249176,0.2217273798061655,0.2217273798061655,0.27457574954845787,0.27457574954845787,,,,,,,,,,,,,,,,,,,,
3,Tremie13,3.382016583108668,0.15147689977278467,30.0,460.0,0.25451069022305606,0.25451069022305606,0.30767935377175926,0.30767935377175926,0.21030744871057366,0.21030744871057366,0.2634339016505229,0.2634339016505229,0.25451069022305606,0.25451069022305606,0.30767935377175926,0.30767935377175926,,,,,,,,,,,,,,,,,,,,
4,Tremie13,3.601333240047078,0.15147689977278467,30.0,480.0,0.2946445756943773,0.2946445756943773,0.3481089757308756,0.3481089757308756,0.22453668105908053,0.22453668105908053,0.2777076123233203,0.2777076123233203,0.2946445756943773,0.2946445756943773,0.3481089757308756,0.3481089757308756,,,,,,,,,,,,,,,,,,,,
5,Tremie13,3.820649896985488,0.15147689977278467,30.0,500.0,0.3413968294143634,0.3413968294143634,0.39630886363393075,0.39630886363393075,0.24287720687396513,0.24287720687396513,0.2960853152597799,0.2960853152597799,0.3413968294143634,0.3413968294143634,0.39630886363393075,0.39630886363393075,0.07773822763567105,0.0,0.07773822763567105,0.22543544484608208,0.0,0.22543544484608208,0.9222617723643289,1.0,0.9222617723643289,0.774564555153918,1.0,0.774564555153918,0.81627,0.8524365,1.0001935,1.000337,0.18372999999999995,0.14756349999999996,-0.0001934999999999576,-0.0003370000000000317
6,Tremie13,4.0399665539238985,0.15147689977278467,30.0,520.0,0.3936338946754454,0.3936338946754454,0.45199383312155395,0.45199383312155395,0.2655951691262018,0.2655951691262018,0.3191583717782107,0.3191583717782107,0.393633540803915,0.393633540803915,0.4519934792500235,0.4519934792500235,,,,,,,,,,,,,,,,,,,,
7,Tremie13,4.259283210862309,0.15147689977278467,30.0,540.0,0.45083769587729183,0.4504156596877098,0.5119182913090664,0.5114962551194844,0.28710134097306855,0.2866793047834865,0.3413371320826152,0.34091509589303315,0.45017995065259125,0.4497579144630092,0.5112605460843659,0.5108385098947837,,,,,,,,,,,,,,,,,,,,
8,Tremie13,4.478599867800718,0.15147689977278467,30.0,560.0,0.5167814676124695,0.5109742799951889,0.584356045121438,0.5785488575041575,0.30564382495523323,0.2998366373379527,0.3608049324597672,0.3549977448424867,0.5089206142865262,0.5031134266692457,0.5764951917954949,0.5706880041782143,,,,,,,,,,,,,,,,,,,,
9,Tremie13,4.697916524739129,0.15147689977278467,30.0,580.0,0.6007913500491352,0.5781975751930579,0.677881717470128,0.6552879426140507,0.3266048771455281,0.30440079686102184,0.3827978730414078,0.3605937927569015,0.5722276411094152,0.5496338662533378,0.6493180085304079,0.6267242336743306,,,,,,,,,,,,,,,,,,,,
