,variety,HS,aire du plot,Nbr.plant.perplot,ThermalTime,LAI_tot,LAI_vert,PAI_tot,PAI_vert,Nbr.axe.tot.m2,Nbr.axe.actif.m2.old,number_of_active_axes_per_m2,TCgreen,TCsen,TCtot,TCgreen_57,TCsen_57,TCtot_57,Gapgreen,Gapsen,Gaptot,Gapgreen_57,Gapsen_57,Gaptot_57,LightPenetration_0,LightPenetration_5,LightPenetration_20,LightPenetration_25,LightInterception_0,LightInterception_5,LightInterception_20,LightInterception_25,rep
0,Rht3,2.43402322392,0.845454545455,200.0,400.0,0.130571487172,0.130571487172,0.166794289146,0.166794289146,283.870967742,210.537634409,262.580645161,0.0481769119389,0.0,0.0481769119389,0.104682474381,0.0,0.104682474381,0.951823088061,1.0,0.951823088061,0.895317525619,1.0,0.895317525619,0.885453,0.947086,1.0001905,1.000124,0.114547,0.052914,-0.0001905,-0.000124,0
1,Rht3,2.61952510001,0.845454545455,200.0,420.0,0.14071828431,0.14071828431,0.177158555137,0.177158555137,343.010752688,210.537634409,303.978494624,,,,,,,,,,,,,,,,,,,,,0
2,Rht3,2.8050269761,0.845454545455,200.0,440.0,0.153412339756,0.153412339756,0.187640023584,0.187640023584,363.11827957,210.537634409,316.989247312,,,,,,,,,,,,,,,,,,,,,0
3,Rht3,2.99052885219,0.845454545455,200.0,460.0,0.172420707114,0.172420707114,0.205923471223,0.205923471223,409.247311828,236.559139785,358.387096774,,,,,,,,,,,,,,,,,,,,,0
4,Rht3,3.17603072828,0.845454545455,200.0,480.0,0.19770161047,0.19770161047,0.231512597245,0.231512597245,424.623655914,309.892473118,385.591397849,,,,,,,,,,,,,,,,,,,,,0
5,Rht3,3.36153260437,0.845454545455,200.0,500.0,0.222072297062,0.222072297062,0.257928292081,0.257928292081,425.806451613,404.516129032,411.612903226,0.080854284586,0.0,0.080854284586,0.156518812177,0.0,0.156518812177,0.919145715414,1.0,0.919145715414,0.843481187823,1.0,0.843481187823,0.8337425,0.9204715,1.0001905,1.000124,0.1662575,0.0795285,-0.0001905,-0.000124,0
6,Rht3,3.54703448046,0.845454545455,200.0,520.0,0.242801392357,0.242801392357,0.279706455318,0.279706455318,455.376344086,409.247311828,431.720430108,,,,,,,,,,,,,,,,,,,,,0
7,Rht3,3.73253635655,0.845454545455,200.0,540.0,0.267305930444,0.267305930444,0.304210993405,0.304210993405,484.946236559,422.258064516,451.827956989,,,,,,,,,,,,,,,,,,,,,0
8,Rht3,3.91803823265,0.845454545455,200.0,560.0,0.295349424118,0.295349424118,0.332276538998,0.332276538998,592.580645161,449.462365591,527.52688172,,,,,,,,,,,,,,,,,,,,,0
9,Rht3,4.10354010874,0.845454545455,200.0,580.0,0.327956780871,0.327956780871,0.365053861065,0.365053861065,612.688172043,513.333333333,548.817204301,,,,,,,,,,,,,,,,,,,,,0
10,Rht3,4.28904198483,0.845454545455,200.0,600.0,0.362515651049,0.362515075021,0.399726737805,0.399726161777,612.688172043,593.76344086,593.76344086,0.128603396077,0.0,0.128603396077,0.232889520533,0.0,0.232889520533,0.871396603923,1.0,0.871396603923,0.767110479467,1.0,0.767110479467,0.7667705,0.8877445,1.0001905,1.000124,0.2332295,0.1122555,-0.0001905,-0.000124,0
11,Rht3,4.47454386092,0.845454545455,200.0,620.0,0.395793041014,0.395254546389,0.433030638351,0.432492143726,631.612903226,594.946236559,594.946236559,,,,,,,,,,,,,,,,,,,,,0
12,Rht3,4.66004573701,0.845454545455,200.0,640.0,0.439547471362,0.436941217272,0.476785068699,0.474178814609,681.290322581,589.032258065,589.032258065,,,,,,,,,,,,,,,,,,,,,0
13,Rht3,4.8455476131,0.845454545455,200.0,660.0,0.491152721187,0.484377381451,0.528399604399,0.521624264663,736.88172043,617.419354839,617.419354839,,,,,,,,,,,,,,,,,,,,,0
