,variety,HS,aire du plot,Nbr.plant.perplot,ThermalTime,LAI_tot,LAI_vert,PAI_tot,PAI_vert,LAI_tot_MS,LAI_vert_MS,PAI_tot_MS,PAI_vert_MS,LAI_tot_ferti,LAI_vert_ferti,PAI_tot_ferti,PAI_vert_ferti,TCgreen,TCsen,TCtot,TCgreen_57,TCsen_57,TCtot_57,Gapgreen,Gapsen,Gaptot,Gapgreen_57,Gapsen_57,Gaptot_57,LightPenetration_0,LightPenetration_5,LightPenetration_20,LightPenetration_25,LightInterception_0,LightInterception_5,LightInterception_20,LightInterception_25,rep
55,Mercia,13.1619689124,0.196078431373,30.0,1500.0,5.88448779685,4.28038830604,7.19373429669,5.37414229419,1.96725302429,1.56509977788,2.39479136109,1.93744430909,5.88448779685,4.28038830604,7.19373429669,5.37414229419,0.634947410943,0.172080484448,0.80702789539,0.960453971196,0.0277383438926,0.988192315089,0.365052589057,0.827919515552,0.19297210461,0.0395460288037,0.972261656107,0.0118076849112,0.0594595,0.062305,0.119859,0.1468115,0.9405405,0.937695,0.880141,0.8531885,0
56,Mercia,13.3457454504,0.196078431373,30.0,1520.0,5.88447632699,4.21365844449,7.23762961437,5.34615623665,1.96722870488,1.54840417398,2.4083931901,1.93118591533,5.88447632699,4.21365844449,7.23762961437,5.34615623665,,,,,,,,,,,,,,,,,,,,,0
57,Mercia,13.5295219884,0.196078431373,30.0,1540.0,5.8844319155,4.14566089226,7.27454449019,5.30829528484,1.96721174898,1.53005407824,2.41917278488,1.92043892761,5.8844319155,4.14566089226,7.27454449019,5.30829528484,,,,,,,,,,,,,,,,,,,,,0
58,Mercia,13.7132985265,0.196078431373,30.0,1560.0,5.88439028309,4.07452427842,7.30579503615,5.26188627808,1.96721918542,1.50849248559,2.42440334324,1.9019149459,5.88439028309,4.07452427842,7.30579503615,5.26188627808,,,,,,,,,,,,,,,,,,,,,0
59,Mercia,13.8970750645,0.196078431373,30.0,1580.0,5.88109062677,4.00187065644,7.32727309793,5.20890073387,1.96724985114,1.48432039943,2.4254424929,1.87789745014,5.88109062677,4.00187065644,7.32727309793,5.20890073387,,,,,,,,,,,,,,,,,,,,,0
60,Mercia,14.0808516026,0.196078431373,30.0,1600.0,5.87779662254,3.92787425425,7.34187977465,5.14904868345,1.96724553314,1.45778211024,2.4254381749,1.85086898293,5.87779662254,3.92787425425,7.34187977465,5.14904868345,0.638753197983,0.181148917548,0.819902115531,0.957396045898,0.0334879379053,0.990883983803,0.361246802017,0.818851082452,0.180097884469,0.0426039541021,0.966512062095,0.00911601619675,0.054874,0.057327,0.108526,0.1322165,0.945126,0.942673,0.891474,0.8677835,0
61,Mercia,14.2646281406,0.196078431373,30.0,1620.0,5.87455136432,3.85133165196,7.34847624588,5.0789489059,1.96725576785,1.42931358047,2.42544840961,1.82130470604,5.87455136432,3.85133165196,7.34847624588,5.0789489059,,,,,,,,,,,,,,,,,,,,,0
62,Mercia,14.4484046787,0.196078431373,30.0,1640.0,5.86994049498,3.77248588377,7.34587401285,4.99797305222,1.96722943832,1.40034355353,2.42542208008,1.79011498926,5.86994049498,3.77248588377,7.34587401285,4.99797305222,,,,,,,,,,,,,,,,,,,,,0
63,Mercia,14.6321812167,0.196078431373,30.0,1660.0,5.84267281111,3.69149098848,7.31829751448,4.91095458956,1.96719372395,1.37161457341,2.42538636571,1.75865152092,5.84267281111,3.69149098848,7.31829751448,4.91095458956,,,,,,,,,,,,,,,,,,,,,0
64,Mercia,14.8159577548,0.196078431373,30.0,1680.0,5.82442314779,3.60951940615,7.2997648556,4.82010886322,1.9671794996,1.34350020097,2.42537214136,1.72808434235,5.82442314779,3.60951940615,7.2997648556,4.82010886322,,,,,,,,,,,,,,,,,,,,,0
65,Mercia,14.9997342928,0.196078431373,30.0,1700.0,5.8036073567,3.52932062854,7.27871221264,4.72925238048,1.96333483934,1.3149544785,2.42152921178,1.6977540143,5.8036073567,3.52932062854,7.27871221264,4.72925238048,0.640081015575,0.193369047263,0.833450062838,0.946889456618,0.0439100577998,0.990799514418,0.359918984425,0.806630952737,0.166549937162,0.0531105433819,0.9560899422,0.00920048558211,0.0537765,0.055952,0.099313,0.1225895,0.9462235,0.944048,0.900687,0.8774105,0
66,Mercia,15.1835108309,0.196078431373,30.0,1720.0,5.76600426293,3.4534786015,7.24091413089,4.64359370749,1.94766237338,1.28462841998,2.40586549589,1.66634705425,5.76600426293,3.4534786015,7.24091413089,4.64359370749,,,,,,,,,,,,,,,,,,,,,0
67,Mercia,15.3672873689,0.196078431373,30.0,1740.0,5.72364867881,3.3792138072,7.19834124414,4.55923225427,1.93226506503,1.25186013331,2.39047511024,1.63088623169,5.72364867881,3.3792138072,7.19834124414,4.55923225427,,,,,,,,,,,,,,,,,,,,,0
68,Mercia,15.551063907,0.196078431373,30.0,1760.0,5.68745245345,3.30357007817,7.16205987614,4.47433891997,1.91072970615,1.21872664165,2.36896476509,1.59327560586,5.68745245345,3.30357007817,7.16205987614,4.47433891997,,,,,,,,,,,,,,,,,,,,,0
69,Mercia,15.734840445,0.196078431373,30.0,1780.0,5.62262729206,3.22674961059,7.0971133316,4.38997002398,1.87072514252,1.18872325651,2.32903948829,1.55822803913,5.62262729206,3.22674961059,7.0971133316,4.38997002398,,,,,,,,,,,,,,,,,,,,,0
70,Mercia,15.9186169831,0.196078431373,30.0,1800.0,5.55469639624,3.14677263883,7.02892589483,4.30352971652,1.84571982724,1.16035122341,2.30408372729,1.52528825274,5.55469639624,3.14677263883,7.02892589483,4.30352971652,0.600963696345,0.204288476788,0.805252173132,0.927727259372,0.0661598948707,0.993887154243,0.399036303655,0.795711523212,0.194747826868,0.0722727406276,0.933840105129,0.0061128457569,0.063329,0.0656,0.0972755,0.118919,0.936671,0.9344,0.9027245,0.881081,0
71,Mercia,16.1023935211,0.196078431373,30.0,1820.0,5.50013085406,3.06121725662,6.97405351771,4.21195438272,1.83072979374,1.13032563809,2.28912342634,1.49261680598,5.50013085406,3.06121725662,6.97405351771,4.21195438272,,,,,,,,,,,,,,,,,,,,,0
72,Mercia,16.2861700592,0.196078431373,30.0,1840.0,5.47487428963,2.96926117505,6.94865450886,4.1125125224,1.83077738433,1.09641955529,2.28917101694,1.45680207774,5.47487428963,2.96926117505,6.94865450886,4.1125125224,,,,,,,,,,,,,,,,,,,,,0
