,variety,HS,aire du plot,Nbr.plant.perplot,ThermalTime,LAI_tot,LAI_vert,PAI_tot,PAI_vert,TCgreen,TCsen,TCtot,TCgreen_57,TCsen_57,TCtot_57,Gapgreen,Gapsen,Gaptot,Gapgreen_57,Gapsen_57,Gaptot_57,LightPenetration_0,LightPenetration_5,LightPenetration_20,LightPenetration_25,LightInterception_0,LightInterception_5,LightInterception_20,LightInterception_25,rep
68,Rht3,14.843785168,0.205479452055,30.0,1760.0,3.49929229153,1.7281172288,5.0254063705,2.99739520765,,,,,,,,,,,,,,,,,,,,,0
69,Rht3,15.0190088891,0.205479452055,30.0,1780.0,3.40890977271,1.68205219328,4.93398268404,2.94589870154,,,,,,,,,,,,,,,,,,,,,0
70,Rht3,15.1942326102,0.205479452055,30.0,1800.0,3.38253534875,1.63475751352,4.90727215747,2.89472608789,0.480915982426,0.274933376549,0.755849358974,0.861707089552,0.11144359372,0.973150683272,0.519084017574,0.725066623451,0.244150641026,0.138292910448,0.88855640628,0.026849316728,0.099183,0.1094975,0.187359,0.237731,0.900817,0.8905025,0.812641,0.762269,0
71,Rht3,15.3694563313,0.205479452055,30.0,1820.0,3.37053513587,1.58448629562,4.89508172701,2.8401631988,,,,,,,,,,,,,,,,,,,,,0
72,Rht3,15.5446800524,0.205479452055,30.0,1840.0,3.37049121252,1.5323042893,4.89503780367,2.78440775645,,,,,,,,,,,,,,,,,,,,,0
73,Rht3,15.7199037735,0.205479452055,30.0,1860.0,3.37050360762,1.4780933853,4.89505019877,2.72699765375,,,,,,,,,,,,,,,,,,,,,0
74,Rht3,15.8951274947,0.205479452055,30.0,1880.0,3.37053471578,1.41965191863,4.89508130692,2.66180988922,,,,,,,,,,,,,,,,,,,,,0
75,Rht3,16.0703512158,0.205479452055,30.0,1900.0,3.37056962569,1.35674701756,4.89511621683,2.58625854554,0.417159590176,0.307266907952,0.724426498127,0.820585923198,0.151596589563,0.972182512761,0.582840409824,0.692733092048,0.275573501873,0.179414076802,0.848403410437,0.0278174872391,0.114554,0.1246075,0.2022775,0.251516,0.885446,0.8753925,0.7977225,0.748484,0
76,Rht3,16.2455749369,0.205479452055,30.0,1920.0,3.3705221197,1.29064705751,4.89506871084,2.50190440969,,,,,,,,,,,,,,,,,,,,,0
77,Rht3,16.420798658,0.205479452055,30.0,1940.0,3.37044258611,1.22337039587,4.89498917725,2.41278397256,,,,,,,,,,,,,,,,,,,,,0
78,Rht3,16.5960223791,0.205479452055,30.0,1960.0,3.36517876584,1.15698075666,4.889655679,2.32287831708,,,,,,,,,,,,,,,,,,,,,0
79,Rht3,16.7712461002,0.205479452055,30.0,1980.0,3.35423781947,1.09398595657,4.87856021824,2.23507900351,,,,,,,,,,,,,,,,,,,,,0
80,Rht3,16.9464698214,0.205479452055,30.0,2000.0,3.35424285091,1.04061458459,4.87856524968,2.15572200593,0.318840932008,0.447961682512,0.76680261452,0.688108429713,0.285011966682,0.973120396395,0.681159067992,0.552038317488,0.23319738548,0.311891570287,0.714988033318,0.0268796036053,0.0999505,0.1094765,0.1856625,0.2362405,0.9000495,0.8905235,0.8143375,0.7637595,0
81,Rht3,17.1216935425,0.205479452055,30.0,2020.0,3.34902772348,0.994800463855,4.87328044426,2.0864165526,,,,,,,,,,,,,,,,,,,,,0
82,Rht3,17.2969172636,0.205479452055,30.0,2040.0,3.34907649325,0.949675703906,4.87332921404,2.0223361291,,,,,,,,,,,,,,,,,,,,,0
83,Rht3,17.4721409847,0.205479452055,30.0,2060.0,3.34353189819,0.901996932899,4.86769754598,1.95882677416,,,,,,,,,,,,,,,,,,,,,0
84,Rht3,17.6473647058,0.205479452055,30.0,2080.0,3.3371147499,0.850622972042,4.86117280692,1.89316361047,,,,,,,,,,,,,,,,,,,,,0
85,Rht3,17.8225884269,0.205479452055,30.0,2100.0,3.28826098093,0.785988282876,4.81167508742,1.817873675,0.237053442812,0.469120030251,0.706173473063,0.628984070449,0.338792711227,0.967776781676,0.762946557188,0.530879969749,0.293826526937,0.371015929551,0.661207288773,0.032223218324,0.109711,0.119448,0.18853,0.2378005,0.890289,0.880552,0.81147,0.7621995,0
86,Rht3,17.997812148,0.205479452055,30.0,2120.0,3.22818926485,0.700765340079,4.7507927322,1.72254100674,,,,,,,,,,,,,,,,,,,,,0
87,Rht3,18.1730358692,0.205479452055,30.0,2140.0,3.22340138356,0.600664132429,4.74600485091,1.60613213445,,,,,,,,,,,,,,,,,,,,,0
88,Rht3,18.3482595903,0.205479452055,30.0,2160.0,3.19246263209,0.491585327935,4.71482674866,1.47470929733,,,,,,,,,,,,,,,,,,,,,0
89,Rht3,18.5234833114,0.205479452055,30.0,2180.0,3.19250822543,0.378327972303,4.71487234199,1.33422966477,,,,,,,,,,,,,,,,,,,,,0
90,Rht3,18.6987070325,0.205479452055,30.0,2200.0,3.19250708442,0.271735994511,4.71487120099,1.19887698827,0.132154979798,0.591188626986,0.723343606784,0.387891764335,0.583412349491,0.971304113826,0.867845020202,0.408811373014,0.276656393216,0.612108235665,0.416587650509,0.028695886174,0.11485,0.1236185,0.183831,0.235166,0.88515,0.8763815,0.816169,0.764834,0
91,Rht3,18.8739307536,0.205479452055,30.0,2220.0,3.18611793511,0.178450157315,4.70848205168,1.07629036859,,,,,,,,,,,,,,,,,,,,,0
92,Rht3,19.0491544747,0.205479452055,30.0,2240.0,3.15472840038,0.105752038446,4.67688395054,0.97565208875,,,,,,,,,,,,,,,,,,,,,0
93,Rht3,19.2243781959,0.205479452055,30.0,2260.0,2.99545187094,0.0577416532536,4.51629523662,0.909369106491,,,,,,,,,,,,,,,,,,,,,0
94,Rht3,19.399601917,0.205479452055,30.0,2280.0,2.88727126063,0.0242599638101,4.40682461408,0.858473126798,,,,,,,,,,,,,,,,,,,,,0
95,Rht3,19.5748256381,0.205479452055,30.0,2300.0,2.87057499812,0.00689227737595,4.38987013713,0.818873524541,0.0651198192539,0.609421176991,0.674540996245,0.21932359053,0.745397253176,0.964720843706,0.934880180746,0.390578823009,0.325459003755,0.78067640947,0.254602746824,0.0352791562944,0.134403,0.1429535,0.191149,0.239474,0.865597,0.8570465,0.808851,0.760526,0
96,Rht3,19.7500493592,0.205479452055,30.0,2320.0,2.87056358852,0.000788504599452,4.38985872753,0.77547381733,,,,,,,,,,,,,,,,,,,,,0
97,Rht3,19.9252730803,0.205479452055,30.0,2340.0,2.87056611826,0.0,4.38986125728,0.726539528296,,,,,,,,,,,,,,,,,,,,,0
98,Rht3,20.1004968014,0.205479452055,30.0,2360.0,2.86306222183,0.0,4.382230851,0.679329742643,,,,,,,,,,,,,,,,,,,,,0
99,Rht3,20.2757205226,0.205479452055,30.0,2380.0,2.86306222183,0.0,4.382230851,0.60673873711,,,,,,,,,,,,,,,,,,,,,0
100,Rht3,20.4509442437,0.205479452055,30.0,2400.0,2.84762835026,0.0,4.36654016996,0.551577667534,0.0536072484046,0.624108583299,0.677715831703,0.199716009252,0.765954029958,0.96567003921,0.946392751595,0.375891416701,0.322284168297,0.800283990748,0.234045970042,0.0343299607902,0.131822,0.140294,0.184816,0.2323145,0.868178,0.859706,0.815184,0.7676855,0
101,Rht3,20.6261679648,0.205479452055,30.0,2420.0,2.84012445382,0.0,4.35890976369,0.501719637118,,,,,,,,,,,,,,,,,,,,,0
102,Rht3,20.8013916859,0.205479452055,30.0,2440.0,2.84012445382,0.0,4.35890976369,0.457838097193,,,,,,,,,,,,,,,,,,,,,0
103,Rht3,20.976615407,0.205479452055,30.0,2460.0,2.84012445382,0.0,4.35890976369,0.411933976899,,,,,,,,,,,,,,,,,,,,,0
104,Rht3,21.1518391281,0.205479452055,30.0,2480.0,2.84012445382,0.0,4.35890976369,0.363938301657,,,,,,,,,,,,,,,,,,,,,0
105,Rht3,21.3270628493,0.205479452055,30.0,2500.0,2.84012445382,0.0,4.35890976369,0.309437487984,0.0231496188056,0.654737982382,0.677887601188,0.1173737166,0.846447344523,0.963821061122,0.976850381194,0.345262017618,0.322112398812,0.8826262834,0.153552655477,0.0361789388776,0.1358045,0.144388,0.190435,0.237742,0.8641955,0.855612,0.809565,0.762258,0
106,Rht3,21.5022865704,0.205479452055,30.0,2520.0,2.84012445382,0.0,4.35890976369,0.25472150044,,,,,,,,,,,,,,,,,,,,,0
107,Rht3,21.6775102915,0.205479452055,30.0,2540.0,2.78305231778,0.0,4.30121694255,0.203702432465,,,,,,,,,,,,,,,,,,,,,0
108,Rht3,21.8527340126,0.205479452055,30.0,2560.0,2.70935862324,0.0,4.22665944426,0.157257315476,,,,,,,,,,,,,,,,,,,,,0
109,Rht3,22.0279577337,0.205479452055,30.0,2580.0,2.66672725359,0.0,4.18354449166,0.11802364416,,,,,,,,,,,,,,,,,,,,,0
