,variety,HS,aire du plot,Nbr.plant.perplot,ThermalTime,LAI_tot,LAI_vert,PAI_tot,PAI_vert,Nbr.axe.tot.m2,Nbr.axe.actif.m2.old,number_of_active_axes_per_m2,TCgreen,TCsen,TCtot,TCgreen_57,TCsen_57,TCtot_57,Gapgreen,Gapsen,Gaptot,Gapgreen_57,Gapsen_57,Gaptot_57,LightPenetration_0,LightPenetration_5,LightPenetration_20,LightPenetration_25,LightInterception_0,LightInterception_5,LightInterception_20,LightInterception_25,rep
20,Tremie13,7.05783446616,0.0933333333333,30.0,800.0,2.10867037516,1.6829504638,2.29953698608,1.81364284081,792.857142857,707.142857143,707.142857143,0.381321225071,0.0884081196581,0.469729344729,0.704002992892,0.0899364010475,0.793939393939,0.618678774929,0.911591880342,0.530270655271,0.295997007108,0.910063598952,0.206060606061,0.310438,0.439241,1.000201,1.000436,0.689562,0.560759,-0.000201,-0.000436,0
21,Tremie13,7.24333634225,0.0933333333333,30.0,820.0,2.28682118233,1.79817872204,2.49322577051,1.94419741143,792.857142857,707.142857143,707.142857143,,,,,,,,,,,,,,,,,,,,,0
22,Tremie13,7.42883821834,0.0933333333333,30.0,840.0,2.49095220165,1.93410754839,2.71353052177,2.09629996972,792.857142857,707.142857143,707.142857143,,,,,,,,,,,,,,,,,,,,,0
23,Tremie13,7.61434009444,0.0933333333333,30.0,860.0,2.70551630636,2.07669379348,2.95283152296,2.26362311129,792.857142857,707.142857143,707.142857143,,,,,,,,,,,,,,,,,,,,,0
24,Tremie13,7.79984197053,0.0933333333333,30.0,880.0,2.91528015817,2.20387247807,3.18558354414,2.41378996524,792.857142857,707.142857143,707.142857143,,,,,,,,,,,,,,,,,,,,,0
25,Tremie13,7.98534384662,0.0933333333333,30.0,900.0,3.12394116546,2.33198845111,3.40444796124,2.55210934809,792.857142857,707.142857143,707.142857143,0.495904558405,0.131766381766,0.627670940171,0.824766180322,0.0883651328096,0.913131313131,0.504095441595,0.868233618234,0.372329059829,0.175233819678,0.91163486719,0.0868686868687,0.1782635,0.2530715,0.998583,1.000436,0.8217365,0.7469285,0.001417,-0.000436,0
26,Tremie13,8.17084572271,0.0933333333333,30.0,920.0,3.389192037,2.49912633872,3.67610361176,2.72559624179,792.857142857,707.142857143,707.142857143,,,,,,,,,,,,,,,,,,,,,0
27,Tremie13,8.3563475988,0.0933333333333,30.0,940.0,3.69992362208,2.72716168443,4.0021712286,2.96690836626,792.857142857,707.142857143,707.142857143,,,,,,,,,,,,,,,,,,,,,0
28,Tremie13,8.54184947489,0.0933333333333,30.0,960.0,4.00536934752,2.99639552891,4.3384204112,3.26374416219,792.857142857,707.142857143,707.142857143,,,,,,,,,,,,,,,,,,,,,0
29,Tremie13,8.72735135098,0.0933333333333,30.0,980.0,4.26470272327,3.23388102424,4.64058945737,3.53704039553,803.571428571,707.142857143,707.142857143,,,,,,,,,,,,,,,,,,,,,0
