,variety,HS,aire du plot,Nbr.plant.perplot,ThermalTime,LAI_tot,LAI_vert,PAI_tot,PAI_vert,LAI_tot_MS,LAI_vert_MS,PAI_tot_MS,PAI_vert_MS,LAI_tot_ferti,LAI_vert_ferti,PAI_tot_ferti,PAI_vert_ferti,TCgreen,TCsen,TCtot,TCgreen_57,TCsen_57,TCtot_57,Gapgreen,Gapsen,Gaptot,Gapgreen_57,Gapsen_57,Gaptot_57,LightPenetration_0,LightPenetration_5,LightPenetration_20,LightPenetration_25,LightInterception_0,LightInterception_5,LightInterception_20,LightInterception_25,rep
23,Tremie12,6.98005576374,0.111940298507,30.0,860.0,3.15507385486,2.24567456364,3.39897428721,2.41017962765,0.792726939323,0.489293049503,0.896919338354,0.514484597416,1.7143462529,1.07632768869,1.86536206925,1.1480882047,,,,,,,,,,,,,,,,,,,,,0
24,Tremie12,7.2011134986,0.111940298507,30.0,880.0,3.48752634612,2.42752025084,3.75327921038,2.61308897968,0.855329530745,0.515766636604,0.96407863513,0.545432944667,1.85536140391,1.13921758973,2.01353004689,1.2177093337,,,,,,,,,,,,,,,,,,,,,0
25,Tremie12,7.42217123346,0.111940298507,30.0,900.0,3.85581483839,2.63049104422,4.14994940773,2.84289353371,0.924227705283,0.550435231633,1.04015791241,0.587118752029,2.01278444717,1.21712312195,2.1845868378,1.30839843927,0.431424385846,0.189363684171,0.620788070017,0.769038159405,0.151508399299,0.920546558704,0.568575614154,0.810636315829,0.379211929983,0.230961840595,0.848491600701,0.0794534412955,0.192107,0.209718,0.9993955,1.0000365,0.807893,0.790282,0.0006045,-3.65e-05,0
26,Tremie12,7.64322896833,0.111940298507,30.0,920.0,4.25355482968,2.85455388607,4.58478330482,3.10191784159,0.999433821787,0.595156516672,1.12323135349,0.639540859917,2.18323244637,1.30751171633,2.37130800959,1.41396268727,,,,,,,,,,,,,,,,,,,,,0
27,Tremie12,7.86428670319,0.111940298507,30.0,940.0,4.66429900641,3.09988970785,5.03647973925,3.38344403015,1.07924263121,0.650123789906,1.21588010582,0.707018973308,2.356339111,1.4067479644,2.56724813769,1.53433321351,,,,,,,,,,,,,,,,,,,,,0
28,Tremie12,8.08534443805,0.111940298507,30.0,960.0,5.09416146391,3.36743294813,5.51502241629,3.68887459363,1.15643393535,0.711301215239,1.30498464567,0.779770053756,2.52901689564,1.51616723626,2.76781910941,1.66415237438,,,,,,,,,,,,,,,,,,,,,0
29,Tremie12,8.30640217292,0.111940298507,30.0,980.0,5.54995683074,3.66253167008,6.022701012,4.02006326559,1.2418398558,0.77813680773,1.4017792639,0.857483006529,2.71382244596,1.64461607744,2.97686896638,1.80647890919,,,,,,,,,,,,,,,,,,,,,0
30,Tremie12,8.52745990778,0.111940298507,30.0,1000.0,6.03455848823,3.98581494946,6.59147297694,4.39618772425,1.33129594997,0.852432043598,1.50191383522,0.941880268389,2.90157467873,1.79198930002,3.20354138005,1.97174289822,0.549469276097,0.252453488302,0.801922764399,0.890335473161,0.0964090356564,0.986744508817,0.450530723903,0.747546511698,0.198077235601,0.109664526839,0.903590964344,0.0132554911827,0.0690325,0.081905,0.8810725,0.988537,0.9309675,0.918095,0.1189275,0.011463,0
31,Tremie12,8.74851764264,0.111940298507,30.0,1020.0,6.55830274289,4.33562394691,7.19415448401,4.79619365211,1.44090867452,0.93882755835,1.62508804801,1.04116126984,3.12739452391,1.96294115898,3.46411377816,2.16364786825,,,,,,,,,,,,,,,,,,,,,0
32,Tremie12,8.9695753775,0.111940298507,30.0,1040.0,7.05899881488,4.69140102025,7.80422744485,5.2108958239,1.54580960074,1.03467454174,1.74546648422,1.15145499646,3.33414190455,2.14902866179,3.72197154637,2.37323688093,,,,,,,,,,,,,,,,,,,,,0
33,Tremie12,9.19063311237,0.111940298507,30.0,1060.0,7.55230838742,5.06285968519,8.38007166653,5.62431234292,1.65343594671,1.1446684196,1.86975828701,1.27667684665,3.54176023344,2.35419185083,3.96922498994,2.60549948635,,,,,,,,,,,,,,,,,,,,,0
34,Tremie12,9.41169084723,0.111940298507,30.0,1080.0,8.07333722618,5.46541839719,8.98280285151,6.06764155837,1.77878541752,1.27547207477,2.0111185924,1.42166149104,3.78620994654,2.59371848223,4.24504821958,2.86901013378,,,,,,,,,,,,,,,,,,,,,0
35,Tremie12,9.63274858209,0.111940298507,30.0,1100.0,8.53264654716,5.88015617783,9.53279331254,6.52922486508,1.89423973938,1.4210368098,2.14514814197,1.5843034124,4.004595971,2.85499354732,4.50332686592,3.16352532048,0.591472755069,0.285946124075,0.877418879145,0.952496431941,0.0426791286678,0.995175560609,0.408527244931,0.714053875925,0.122581120855,0.0475035680592,0.957320871332,0.00482443939137,0.0316465,0.043683,0.438915,0.7196955,0.9683535,0.956317,0.561085,0.2803045,0
36,Tremie12,9.85380631696,0.111940298507,30.0,1120.0,9.00701722675,6.30362586315,10.1024766891,7.01833424994,2.03022209921,1.5720965198,2.30260829043,1.75583638549,4.27321233557,3.12444168796,4.81410381354,3.47290093959,,,,,,,,,,,,,,,,,,,,,0
37,Tremie12,10.0748640518,0.111940298507,30.0,1140.0,9.39911329666,6.70929915671,10.5800284333,7.48956490682,2.16024192216,1.72204594183,2.45291167725,1.9280982603,4.51164603786,3.39062508269,5.09779874176,3.78678078288,,,,,,,,,,,,,,,,,,,,,0
38,Tremie12,10.2959217867,0.111940298507,30.0,1160.0,9.78434776811,7.07649591666,11.0569386985,7.93316525559,2.28126729742,1.87094456441,2.59677737974,2.10161414161,4.72934174156,3.64562551672,5.36431077123,4.09309242298,,,,,,,,,,,,,,,,,,,,,0
39,Tremie12,10.5169795215,0.111940298507,30.0,1180.0,10.162517729,7.41748601713,11.5181927475,8.35352443655,2.40939143634,2.02246587311,2.74672624394,2.27920189532,4.96673872817,3.90153733649,5.64925187169,4.40274436702,,,,,,,,,,,,,,,,,,,,,0
40,Tremie12,10.7380372564,0.111940298507,30.0,1200.0,10.3789865009,7.70102715491,11.8238667677,8.74499228891,2.53774533939,2.17642401257,2.90015297553,2.467748598,5.18836065423,4.15897333954,5.92495700726,4.72992688751,0.631442569865,0.286572850771,0.918015420637,0.974164832241,0.0221321724038,0.996297004645,0.368557430135,0.713427149229,0.0819845793633,0.0258351677593,0.977867827596,0.00370299535548,0.0177135,0.0223625,0.17575,0.3104315,0.9822865,0.9776375,0.82425,0.6895685,0
