TT,daydate
0.0,2012-10-29
6.75833333333,2012-10-30
13.2333333333,2012-10-31
19.7666666667,2012-11-01
27.875,2012-11-02
35.4625,2012-11-03
44.6125,2012-11-04
52.7583333333,2012-11-05
60.075,2012-11-06
66.3583333333,2012-11-07
74.2708333333,2012-11-08
79.2166666667,2012-11-09
85.5166666667,2012-11-10
95.9041666667,2012-11-11
102.029166667,2012-11-12
107.725,2012-11-13
112.583333333,2012-11-14
115.8375,2012-11-15
120.025,2012-11-16
124.079166667,2012-11-17
131.608333333,2012-11-18
139.841666667,2012-11-19
149.391666667,2012-11-20
156.858333333,2012-11-21
164.041666667,2012-11-22
169.266666667,2012-11-23
177.720833333,2012-11-24
187.079166667,2012-11-25
195.795833333,2012-11-26
204.675,2012-11-27
211.179166667,2012-11-28
217.233333333,2012-11-29
221.995833333,2012-11-30
223.383333333,2012-12-01
224.8,2012-12-02
226.8125,2012-12-03
233.345833333,2012-12-04
237.720833333,2012-12-05
240.104166667,2012-12-06
241.154166667,2012-12-07
243.558333333,2012-12-08
245.166666667,2012-12-09
248.125,2012-12-10
252.0125,2012-12-11
253.0625,2012-12-12
253.108333333,2012-12-13
254.7875,2012-12-14
262.85,2012-12-15
271.570833333,2012-12-16
279.716666667,2012-12-17
286.5,2012-12-18
293.295833333,2012-12-19
298.4625,2012-12-20
305.879166667,2012-12-21
312.6,2012-12-22
322.05,2012-12-23
334.45,2012-12-24
344.454166667,2012-12-25
354.095833333,2012-12-26
362.758333333,2012-12-27
371.695833333,2012-12-28
380.4625,2012-12-29
389.7875,2012-12-30
397.3,2012-12-31
405.533333333,2013-01-01
411.929166667,2013-01-02
417.1,2013-01-03
425.5125,2013-01-04
433.85,2013-01-05
441.666666667,2013-01-06
448.145833333,2013-01-07
453.908333333,2013-01-08
457.15,2013-01-09
460.270833333,2013-01-10
466.695833333,2013-01-11
471.225,2013-01-12
474.529166667,2013-01-13
477.416666667,2013-01-14
477.716666667,2013-01-15
478.875,2013-01-16
478.875,2013-01-17
478.875,2013-01-18
478.875,2013-01-19
478.875,2013-01-20
478.879166667,2013-01-21
479.258333333,2013-01-22
480.645833333,2013-01-23
482.020833333,2013-01-24
482.6375,2013-01-25
482.6375,2013-01-26
483.595833333,2013-01-27
487.983333333,2013-01-28
494.379166667,2013-01-29
504.733333333,2013-01-30
514.970833333,2013-01-31
522.933333333,2013-02-01
531.145833333,2013-02-02
534.233333333,2013-02-03
536.775,2013-02-04
545.1625,2013-02-05
548.7125,2013-02-06
552.654166667,2013-02-07
555.0875,2013-02-08
557.025,2013-02-09
557.5875,2013-02-10
559.129166667,2013-02-11
563.991666667,2013-02-12
565.804166667,2013-02-13
565.8875,2013-02-14
568.679166667,2013-02-15
573.825,2013-02-16
577.695833333,2013-02-17
579.958333333,2013-02-18
582.283333333,2013-02-19
585.3125,2013-02-20
587.675,2013-02-21
587.95,2013-02-22
587.954166667,2013-02-23
587.954166667,2013-02-24
587.958333333,2013-02-25
588.245833333,2013-02-26
589.395833333,2013-02-27
591.775,2013-02-28
593.704166667,2013-03-01
595.825,2013-03-02
597.45,2013-03-03
600.354166667,2013-03-04
607.358333333,2013-03-05
617.3875,2013-03-06
628.1875,2013-03-07
638.875,2013-03-08
649.495833333,2013-03-09
659.720833333,2013-03-10
665.204166667,2013-03-11
668.6,2013-03-12
668.8125,2013-03-13
669.404166667,2013-03-14
670.716666667,2013-03-15
673.404166667,2013-03-16
677.741666667,2013-03-17
682.975,2013-03-18
687.091666667,2013-03-19
692.104166667,2013-03-20
697.795833333,2013-03-21
703.8125,2013-03-22
712.666666667,2013-03-23
720.854166667,2013-03-24
726.470833333,2013-03-25
730.658333333,2013-03-26
