id_plt,id_cohort,id_axis,N_phytomer,HS_final,TT_stop_axis,TT_del_axis,id_dim,id_phen,id_ear,TT_em_phytomer1,TT_col_phytomer1,TT_sen_phytomer1,TT_del_phytomer1
59,6,T1.0,7,6.03502856669,1261.0,1861.0,6070,607,NA,405.151321646,613.3351739,953.56159333,1343.90631631
59,6,T3,7,6.02734305227,1260.0,1860.0,6070,607,NA,405.151321646,613.3351739,953.56159333,1343.90631631
60,1,MS,11,11.0,NA,NA,1111,111,1.0,7.40317438929,199.629495871,678.158795823,1038.5831486
60,4,T1,8,8.0,NA,NA,4081,408,1.0,305.589149576,509.394704097,805.496502945,1187.63191767
60,5,T2,8,2.82262383187,983.0,1583.0,5030,508,NA,730.706069433,855.420103981,972.079751073,1205.91856585
60,6,T1.0,7,5.74297901846,1223.0,1823.0,6060,607,NA,412.17070692,620.354559174,960.580978604,1350.92570158
60,6,T3,8,6.4404363617,1209.0,1809.0,6070,608,NA,421.929324994,604.090195717,879.004057649,1220.55569025
60,7,T2.0,6,4.40108085626,1115.0,1715.0,7050,706,NA,549.64479334,756.044602259,1084.72764634,1471.72728806
61,1,MS,12,12.0,NA,NA,1121,112,1.0,3.35941932857,179.566880687,663.586127358,993.975117404
61,4,T1,10,9.99453234786,1386.0,1986.0,4100,410,NA,310.823738558,473.868182175,710.749621253,1016.45795304
61,6,T1.0,8,6.58097148265,1225.0,1825.0,6070,608,NA,411.878497387,594.03936811,868.953230042,1210.50486265
62,1,MS,12,12.0,NA,NA,1121,112,1.0,3.81927193082,180.026733289,664.045979961,994.434970007
62,4,T1,9,9.0,NA,NA,4091,409,1.0,304.490072676,485.650565584,748.85216456,1088.52808876
62,5,T2,8,3.13052823203,1007.0,1607.0,5040,508,NA,721.115094429,845.829128977,962.488776068,1196.32759085
62,6,T1.0,8,6.56340459253,1223.0,1823.0,6070,608,NA,412.338349989,594.499220712,869.413082644,1210.96471525
62,7,T1.1,7,4.50787859391,1111.0,1711.0,7050,707,NA,551.110950956,728.025072886,1001.7688379,1333.48281652
63,1,MS,11,11.0,NA,NA,1111,111,1.0,1.79238010686,194.018701588,672.548001541,1032.97235432
63,4,T1,8,8.0,NA,NA,4081,408,1.0,299.978355293,503.783909815,799.885708663,1182.02112339
