image;date;pcent_veg;PAI;variety
09052012-D57-Bloc1-Mod5-R1;09/05/2012;97,67;4,04;Tremie12
09052012-D57-Bloc1-Mod5-R2;09/05/2012;98,18;4,31;Tremie12
09052012-D57-Bloc1-Mod5-R3;09/05/2012;98,67;4,65;Tremie12
09052012-D57-Bloc1-Mod5-R4;09/05/2012;98,19;4,31;Tremie12
09052012-D57-Bloc2-Mod5-R1;09/05/2012;96,99;3,77;Tremie12
09052012-D57-Bloc2-Mod5-R2;09/05/2012;97,02;3,78;Tremie12
09052012-D57-Bloc2-Mod5-R3;09/05/2012;97,88;4,14;Tremie12
09052012-D57-Bloc2-Mod5-R4;09/05/2012;98,7;4,67;Tremie12
09052012-D57-Bloc1-Mod6-R1;09/05/2012;97,44;3,94;Tremie12
09052012-D57-Bloc1-Mod6-R2;09/05/2012;97,34;3,9;Tremie12
09052012-D57-Bloc1-Mod6-R3;09/05/2012;96,9;3,73;Tremie12
09052012-D57-Bloc1-Mod6-R4;09/05/2012;96,79;3,7;Tremie12
09052012-D57-Bloc1-Mod6-R5;09/05/2012;97,18;3,84;Tremie12
09052012-D57-Bloc1-Mod6-R6;09/05/2012;97,13;3,82;Tremie12
09052012-D57-Bloc2-Mod6-R1;09/05/2012;98,41;4,46;Tremie12
09052012-D57-Bloc2-Mod6-R2;09/05/2012;98,49;4,51;Tremie12
09052012-D57-Bloc2-Mod6-R3;09/05/2012;99,05;5;Tremie12
09052012-D57-Bloc2-Mod6-R4;09/05/2012;98,04;4,23;Tremie12
09052012-D57-Bloc3-Mod6-R1;09/05/2012;99,7;6,26;Tremie12
09052012-D57-Bloc3-Mod6-R2;09/05/2012;99,6;5,93;Tremie12
09052012-D57-Bloc3-Mod6-R3;09/05/2012;97,34;3,9;Tremie12
09052012-D57-Bloc3-Mod6-R4;09/05/2012;96,72;3,68;Tremie12
09052012-D57-Bloc3-Mod6-R5;09/05/2012;97,15;3,83;Tremie12
09052012-D57-Bloc1-Mod7-R1;09/05/2012;97,61;4,01;Tremie12
09052012-D57-Bloc1-Mod7-R2;09/05/2012;97,88;4,14;Tremie12
09052012-D57-Bloc1-Mod7-R3;09/05/2012;98,03;4,22;Tremie12
09052012-D57-Bloc1-Mod7-R4;09/05/2012;97,58;4;Tremie12
09052012-D57-Bloc2-Mod7-R1;09/05/2012;97,2;3,84;Tremie12
09052012-D57-Bloc2-Mod7-R2;09/05/2012;97,52;3,97;Tremie12
09052012-D57-Bloc2-Mod7-R3;09/05/2012;97,14;3,82;Tremie12
09052012-D57-Bloc2-Mod7-R4;09/05/2012;98,26;4,36;Tremie12
09052012-D57-Bloc3-Mod7-R1;09/05/2012;98,31;4,39;Tremie12
09052012-D57-Bloc3-Mod7-R2;09/05/2012;97,66;4,04;Tremie12
09052012-D57-Bloc3-Mod7-R3;09/05/2012;98,9;4,85;Tremie12
09052012-D57-Bloc3-Mod7-R4;09/05/2012;98,14;4,29;Tremie12
09052012-D57-Bloc1-Mod8-R1;09/05/2012;93,17;2,89;Tremie12
09052012-D57-Bloc1-Mod8-R2;09/05/2012;95,3;3,29;Tremie12
09052012-D57-Bloc1-Mod8-R3;09/05/2012;95,58;3,35;Tremie12
09052012-D57-Bloc1-Mod8-R4;09/05/2012;94,87;3,19;Tremie12
09052012-D57-Bloc2-Mod8-R1;09/05/2012;98,6;4,59;Tremie12
09052012-D57-Bloc2-Mod8-R2;09/05/2012;98,33;4,4;Tremie12
09052012-D57-Bloc2-Mod8-R3;09/05/2012;98,07;4,24;Tremie12
09052012-D57-Bloc2-Mod8-R4;09/05/2012;98,23;4,34;Tremie12
09052012-D57-Bloc2-Mod8-R5;09/05/2012;98,96;4,9;Tremie12
09052012-D57-Bloc3-Mod8-R1;09/05/2012;98,54;4,55;Tremie12
09052012-D57-Bloc3-Mod8-R2;09/05/2012;96,67;3,66;Tremie12
09052012-D57-Bloc3-Mod8-R3;09/05/2012;99,82;6,81;Tremie12
09052012-D57-Bloc3-Mod8-R4;09/05/2012;99,83;6,83;Tremie12
09052012-D57-Bloc1-Mod9-R1;09/05/2012;98,75;4,71;Tremie12
09052012-D57-Bloc1-Mod9-R2;09/05/2012;98,63;4,61;Tremie12
09052012-D57-Bloc1-Mod9-R3;09/05/2012;96,86;3,72;Tremie12
09052012-D57-Bloc1-Mod9-R4;09/05/2012;97,05;3,79;Tremie12
09052012-D57-Bloc1-Mod9-R5;09/05/2012;97,05;3,79;Tremie12
09052012-D57-Bloc1-Mod9-R6;09/05/2012;97,09;3,8;Tremie12
09052012-D57-Bloc2-Mod9-R1;09/05/2012;98,75;4,71;Tremie12
09052012-D57-Bloc2-Mod9-R2;09/05/2012;98,23;4,34;Tremie12
09052012-D57-Bloc2-Mod9-R3;09/05/2012;99,01;4,96;Tremie12
09052012-D57-Bloc2-Mod9-R4;09/05/2012;98,66;4,63;Tremie12
09052012-D57-Bloc1-Mod10-R1;09/05/2012;97,78;4,1;Tremie12
09052012-D57-Bloc1-Mod10-R2;09/05/2012;97,28;3,88;Tremie12
09052012-D57-Bloc1-Mod10-R3;09/05/2012;97,87;4,14;Tremie12
09052012-D57-Bloc1-Mod10-R4;09/05/2012;97,27;3,87;Tremie12
09052012-D57-Bloc1-Mod10-R5;09/05/2012;97,96;4,18;Tremie12
09052012-D57-Bloc2-Mod10-R1;09/05/2012;99,1;5,06;Tremie12
09052012-D57-Bloc2-Mod10-R2;09/05/2012;99,38;5,47;Tremie12
09052012-D57-Bloc2-Mod10-R3;09/05/2012;99,32;5,37;Tremie12
09052012-D57-Bloc2-Mod10-R4;09/05/2012;98,71;4,68;Tremie12
09052012-D57-Bloc3-Mod10-R1;09/05/2012;98,15;4,29;Tremie12
09052012-D57-Bloc3-Mod10-R2;09/05/2012;98,12;4,28;Tremie12
09052012-D57-Bloc3-Mod10-R3;09/05/2012;98,07;4,25;Tremie12
09052012-D57-Bloc3-Mod10-R4;09/05/2012;99,34;5,4;Tremie12
09052012-D57-Bloc3-Mod10-R5;09/05/2012;97,13;3,82;Tremie12
09052012-D57-Bloc3-Mod10-R6;09/05/2012;97,76;4,09;Tremie12
09052012-D57-Bloc3-Mod10-R7;09/05/2012;97,31;3,89;Tremie12
