An	Jour	Jsim	hhmm	PAR	Tair	HR	Vent	Pluie
2001	274	1	100	0.17	16.96	87.9	5.588	0.4
2001	274	1	200	0.14	17.13	87.3	6.201	0.2
2001	274	1	300	1.35	17.1	87.7	6.57	0.8
2001	274	1	400	1.43	17	87.8	6.099	0.8
2001	274	1	500	0.41	16.9	87.5	6.323	0.2
2001	274	1	600	-1.64	16.83	88.8	5.508	0
2001	274	1	700	32.52	17.02	87.8	5.089	0
2001	274	1	800	195.4	17.17	86.6	5.181	0
2001	274	1	900	195.84	17.09	86.1	5.283	0
2001	274	1	1000	340.68	17.23	83.5	5.422	0
2001	274	1	1100	470.95	17.59	82.4	5.299	0
2001	274	1	1200	518.2	18.31	79.3	6.05	0
2001	274	1	1300	290.78	18.37	78.6	6.002	0
2001	274	1	1400	551.32	19.12	76.8	6.1	0
2001	274	1	1500	349.73	19.64	73.5	5.781	0
2001	274	1	1600	287.69	19.78	74.3	5.882	0
2001	274	1	1700	44.36	19.21	78.5	4.82	0
2001	274	1	1800	6.32	18.76	79.7	5.236	0
2001	274	1	1900	-3.23	18.25	80.7	4.634	0
2001	274	1	2000	-3.14	17.65	82.5	4.86	0
2001	274	1	2100	-2.11	17.44	83.7	4.978	0
2001	274	1	2200	-3.25	17.12	85.3	3.585	0
2001	274	1	2300	-3.67	16.77	88	3.707	0
2001	274	1	2400	-2.1	16.78	88.4	4.022	0
2001	275	2	100	-1.49	17.06	87.7	4.081	0
2001	275	2	200	-3.32	16.93	88.7	4.049	0
2001	275	2	300	-2.27	16.85	88.8	4.054	0
2001	275	2	400	-1.12	16.97	88.7	4.414	0
2001	275	2	500	-1.18	17.27	88.4	4.911	0.2
2001	275	2	600	-0.29	17.61	87.4	5.194	0
2001	275	2	700	120.77	17.7	85.7	6.422	0
2001	275	2	800	433.63	18.06	83	6.428	0
2001	275	2	900	657.3	18.81	78.9	7.32	0
2001	275	2	1000	1032.86	19.95	75.2	7.39	0
2001	275	2	1100	1184.54	21.44	70.5	7.33	0
2001	275	2	1200	1172.84	22.48	67.22	7.51	0
2001	275	2	1300	921.8	22.98	63.94	7.8	0
2001	275	2	1400	767.03	23.38	60.9	7.66	0
2001	275	2	1500	468.52	23.36	60.92	7.47	0
2001	275	2	1600	547.56	23.31	61.94	6.343	0
2001	275	2	1700	219.47	22.56	64.77	5.566	0
2001	275	2	1800	9.71	21.63	67.95	4.826	0
2001	275	2	1900	-1.93	20.93	70.2	3.508	0
2001	275	2	2000	-2.07	18.97	79.1	2.988	0
2001	275	2	2100	-2.64	16.92	85.5	1.487	0
2001	275	2	2200	-1.84	15.87	86.8	0.436	0
2001	275	2	2300	-0.12	15.71	88.2	0.496	0
2001	275	2	2400	-0.26	15.51	90.5	1.035	0.2
2001	276	3	100	0.33	15.28	90.4	2.115	2.6
2001	276	3	200	0.3	14.82	90	1.766	1.4
2001	276	3	300	0.66	14.39	89.8	2.602	1.4
2001	276	3	400	-0.12	14.06	91.3	2.626	1.4
2001	276	3	500	-0.72	13.86	92.4	2.057	0
2001	276	3	600	0.43	13.89	92.2	1.465	0
2001	276	3	700	53.32	13.93	92.4	1.082	0
2001	276	3	800	189.44	14.17	92	1.841	0
2001	276	3	900	383.07	14.54	90.5	2.09	0
2001	276	3	1000	440.48	15.02	84.7	2.064	0
2001	276	3	1100	799.71	15.49	80.8	1.964	0
2001	276	3	1200	667.89	16.17	75.8	2.96	0
2001	276	3	1300	593.71	16.2	73.7	2.756	0
2001	276	3	1400	484.64	16.51	72.2	2.589	0
2001	276	3	1500	340.46	16.38	69.96	2.087	0
2001	276	3	1600	249.71	16.25	72.3	1.826	0
2001	276	3	1700	93.2	15.73	77.2	1.483	0
2001	276	3	1800	19.21	14.98	80.4	1.217	0
2001	276	3	1900	-3.48	14.06	83.9	0.927	0
2001	276	3	2000	-3.78	13.46	82.3	1.476	0
2001	276	3	2100	-5.41	13.03	82.6	1.791	0
2001	276	3	2200	-4.64	12.4	84.4	1.546	0
2001	276	3	2300	-2.87	12.34	83.8	1.51	0
2001	276	3	2400	-2.26	12.52	84	2.147	0
2001	277	4	100	-4.77	11.87	86.7	2.018	0
2001	277	4	200	-4.59	11.01	89.6	1.004	0
2001	277	4	300	-3.73	10.81	90.2	0.841	0
2001	277	4	400	-4.49	10.4	90.8	0.925	0
2001	277	4	500	-4.27	9.97	91.8	0.443	0
2001	277	4	600	-2.11	9.9	92.3	1.107	0
2001	277	4	700	63.06	9.58	93.4	1.595	0
2001	277	4	800	142.9	9.71	94.9	2.429	0
2001	277	4	900	207.1	10.7	94.9	2.678	0
2001	277	4	1000	248.83	11.71	89.3	3.127	0
2001	277	4	1100	913.41	13.02	84.1	3.095	0
2001	277	4	1200	1048.98	14.99	75.4	3.329	0
2001	277	4	1300	1171.74	15.88	70.4	3.814	0
2001	277	4	1400	729.94	16.39	69.22	3.639	0
2001	277	4	1500	693.51	16.51	68.58	3.68	0
2001	277	4	1600	345.32	15.85	73.4	3.899	0
2001	277	4	1700	146.47	15.06	76.6	3.215	0
2001	277	4	1800	3.56	14.16	81.3	1.813	0
2001	277	4	1900	-3.08	13.63	83.9	1.809	0
2001	277	4	2000	-2.72	13.49	82.3	2.558	0
2001	277	4	2100	-2.73	13.35	82	2.508	0
