,variety,HS,aire du plot,Nbr.plant.perplot,ThermalTime,LAI_tot,LAI_vert,PAI_tot,PAI_vert,Nbr.axe.tot.m2,Nbr.axe.actif.m2.old,number_of_active_axes_per_m2,TCgreen,TCsen,TCtot,TCgreen_57,TCsen_57,TCtot_57,Gapgreen,Gapsen,Gaptot,Gapgreen_57,Gapsen_57,Gaptot_57,LightPenetration_0,LightPenetration_5,LightPenetration_20,LightPenetration_25,LightInterception_0,LightInterception_5,LightInterception_20,LightInterception_25,rep
67,Mercia,15.1902452007,0.845454545455,200.0,1740.0,5.15822603161,3.96406651096,6.90689446726,5.58710346254,456.559139785,0.0,443.548387097,,,,,,,,,,,,,,,,,,,,,0
68,Mercia,15.3757470768,0.845454545455,200.0,1760.0,5.14380995687,3.87073433062,6.89247839253,5.47639963868,456.559139785,0.0,443.548387097,,,,,,,,,,,,,,,,,,,,,0
69,Mercia,15.5612489529,0.845454545455,200.0,1780.0,5.04031019941,3.78053368801,6.78897863506,5.3885429323,456.559139785,0.0,443.548387097,,,,,,,,,,,,,,,,,,,,,0
70,Mercia,15.746750829,0.845454545455,200.0,1800.0,4.86301583452,3.68773235895,6.61168427017,5.31306198195,456.559139785,0.0,443.548387097,0.729926286692,0.107674081874,0.837600368567,0.992229622582,0.00594671741199,0.998176339994,0.270073713308,0.892325918126,0.162399631433,0.00777037741833,0.994053282588,0.00182366000634,0.0557445,0.0578475,0.083104,0.0958815,0.9442555,0.9421525,0.916896,0.9041185,0
71,Mercia,15.9322527051,0.845454545455,200.0,1820.0,4.83314317376,3.57959370072,6.58181160941,5.18493219532,456.559139785,0.0,443.548387097,,,,,,,,,,,,,,,,,,,,,0
72,Mercia,16.1177545812,0.845454545455,200.0,1840.0,4.81787648722,3.46361223106,6.56654492287,5.04256921057,456.559139785,0.0,443.548387097,,,,,,,,,,,,,,,,,,,,,0
73,Mercia,16.3032564573,0.845454545455,200.0,1860.0,4.81655671246,3.34355284261,6.56522514811,4.89279853164,456.559139785,0.0,443.548387097,,,,,,,,,,,,,,,,,,,,,0
74,Mercia,16.4887583334,0.845454545455,200.0,1880.0,4.81658799937,3.20942436127,6.56525643502,4.73083611419,456.559139785,0.0,443.548387097,,,,,,,,,,,,,,,,,,,,,0
75,Mercia,16.6742602095,0.845454545455,200.0,1900.0,4.8166712757,3.05285658822,6.56533971135,4.54879781318,456.559139785,0.0,443.548387097,0.677076477557,0.161741476899,0.838817954456,0.984406673944,0.0134102604085,0.997816934352,0.322923522443,0.838258523101,0.161182045544,0.0155933260564,0.986589739591,0.0021830656479,0.0564205,0.058346,0.0816025,0.0941345,0.9435795,0.941654,0.9183975,0.9058655,0
76,Mercia,16.8597620856,0.845454545455,200.0,1920.0,4.8164942775,2.86710833042,6.56516271315,4.32739474498,456.559139785,0.0,443.548387097,,,,,,,,,,,,,,,,,,,,,0
77,Mercia,17.0452639617,0.845454545455,200.0,1940.0,4.81632287648,2.6705471666,6.56499131213,4.08615794839,456.559139785,0.0,443.548387097,,,,,,,,,,,,,,,,,,,,,0
78,Mercia,17.2307658377,0.845454545455,200.0,1960.0,4.81613374956,2.47748818878,6.56480218522,3.83272507315,456.559139785,0.0,443.548387097,,,,,,,,,,,,,,,,,,,,,0
79,Mercia,17.4162677138,0.845454545455,200.0,1980.0,4.81616503696,2.30123026797,6.56483347261,3.59614700325,456.559139785,0.0,443.548387097,,,,,,,,,,,,,,,,,,,,,0
80,Mercia,17.6017695899,0.845454545455,200.0,2000.0,4.7929899359,2.12131892018,6.54165837155,3.37415865068,456.559139785,0.0,443.548387097,0.438824536001,0.399039094379,0.83786363038,0.707859036332,0.28995789802,0.997816934352,0.561175463999,0.600960905621,0.16213636962,0.292140963668,0.71004210198,0.0021830656479,0.0573485,0.0593095,0.081266,0.093742,0.9426515,0.9406905,0.918734,0.906258,0
81,Mercia,17.787271466,0.845454545455,200.0,2020.0,4.76642502203,1.89073263234,6.51509345768,3.12104462932,456.559139785,0.0,443.548387097,,,,,,,,,,,,,,,,,,,,,0
82,Mercia,17.9727733421,0.845454545455,200.0,2040.0,4.76660377567,1.51553347511,6.51527221132,2.71941321038,456.559139785,0.0,443.548387097,,,,,,,,,,,,,,,,,,,,,0
83,Mercia,18.1582752182,0.845454545455,200.0,2060.0,4.76681430883,1.03045452976,6.51548274448,2.17905767681,456.559139785,0.0,443.548387097,,,,,,,,,,,,,,,,,,,,,0
84,Mercia,18.3437770943,0.845454545455,200.0,2080.0,4.7668421812,0.545480704301,6.51551061685,1.62271730966,456.559139785,0.0,443.548387097,,,,,,,,,,,,,,,,,,,,,0
85,Mercia,18.5292789704,0.845454545455,200.0,2100.0,4.76466931041,0.19589004016,6.51333774606,1.20056107528,456.559139785,0.0,443.548387097,0.0954324075293,0.739963143346,0.835395550875,0.169421487603,0.828317480119,0.997738967722,0.904567592471,0.260036856654,0.164604449125,0.830578512397,0.171682519881,0.00226103227818,0.0584195,0.0604355,0.081283,0.09374,0.9415805,0.9395645,0.918717,0.90626,0
86,Mercia,18.7147808465,0.845454545455,200.0,2120.0,4.75201328554,0.0371395783984,6.50068172119,0.974570014634,456.559139785,0.0,443.548387097,,,,,,,,,,,,,,,,,,,,,0
87,Mercia,18.9002827226,0.845454545455,200.0,2140.0,4.7498453509,0.0,6.49851378655,0.883433370136,456.559139785,0.0,443.548387097,,,,,,,,,,,,,,,,,,,,,0
