,variety,HS,aire du plot,Nbr.plant.perplot,ThermalTime,LAI_tot,LAI_vert,PAI_tot,PAI_vert,LAI_tot_MS,LAI_vert_MS,PAI_tot_MS,PAI_vert_MS,LAI_tot_ferti,LAI_vert_ferti,PAI_tot_ferti,PAI_vert_ferti,TCgreen,TCsen,TCtot,TCgreen_57,TCsen_57,TCtot_57,Gapgreen,Gapsen,Gaptot,Gapgreen_57,Gapsen_57,Gaptot_57,LightPenetration_0,LightPenetration_5,LightPenetration_20,LightPenetration_25,LightInterception_0,LightInterception_5,LightInterception_20,LightInterception_25
37,Rht3,9.41184981334596,0.163331459176823,30.0,1140.0,5.7675675723352535,3.827606807502077,6.419910594004309,4.345995411815117,1.4619848801646909,1.1232327511636302,1.5955990818027852,1.2127114409244169,3.6765630396146864,2.7935447716337483,4.011883891723526,3.017833355712175,,,,,,,,,,,,,,,,,,,,
38,Rht3,9.587073534462345,0.16498407847798888,30.0,1160.0,5.840334548803987,3.8173456400374985,6.5162220864771605,4.345569291740151,1.5009871535751793,1.1795797662804726,1.6415774930987697,1.275478289092447,3.8074250707235833,2.9302354310551157,4.162832278798564,3.1679089462572234,,,,,,,,,,,,,,,,,,,,
39,Rht3,9.762297255578732,0.16667048266475487,30.0,1180.0,5.833623402106743,3.774239301917961,6.514052944562871,4.291996196653962,1.5351989882958998,1.2256707729259282,1.680276073375312,1.3250012837522545,3.929999934897563,3.0510051420246858,4.3008729908783385,3.2998384990209346,,,,,,,,,,,,,,,,,,,,
40,Rht3,9.937520976695117,0.1683917184447262,30.0,1200.0,5.807469677383474,3.7285841637742565,6.489267964924849,4.2326598733243594,1.5608634183448322,1.2734078448185386,1.708561166610935,1.37498275434193,4.0289684841330535,3.151990931453247,4.412400456994577,3.4105902569479682,0.4229374090693965,0.34540866185209207,0.7683460709214885,0.8358364943082315,0.15006480809621267,0.9859013024044442,0.5770625909306035,0.6545913381479079,0.23165392907851146,0.16416350569176852,0.8499351919037873,0.01409869759555582,0.0916055,0.1384825,0.800205,0.9789574999999999,0.9083945,0.8615174999999999,0.19979499999999994,0.021042500000000075
41,Rht3,10.112744697811502,0.17014887621483943,30.0,1220.0,5.763091677468752,3.696504057032819,6.437165167506763,4.182001911343084,1.6029838381327712,1.3277337413808659,1.7531145535601491,1.4324640430207771,4.1424990962878825,3.249313233637368,4.536932744000337,3.517434431682635,,,,,,,,,,,,,,,,,,,,
42,Rht3,10.287968418927889,0.17194309236487776,30.0,1240.0,5.752566494950015,3.683544736962964,6.419470703389087,4.150573715812369,1.6455223830800276,1.3857774177085882,1.7996129001879595,1.4988379787330555,4.257522573625212,3.3514182569997875,4.660763040427256,3.629670500406647,,,,,,,,,,,,,,,,,,,,
43,Rht3,10.463192140044274,0.1737755517282827,30.0,1260.0,5.753168769136153,3.682412115265315,6.429853791124984,4.148747119563296,1.67489891366741,1.434257048271647,1.8349885484154937,1.5603892599135798,4.359952082924125,3.4551042245795998,4.782503664375454,3.756829819961527,,,,,,,,,,,,,,,,,,,,
44,Rht3,10.638415861160661,0.17564749019136866,30.0,1280.0,5.720205848687863,3.6887013366471995,6.402020502811372,4.151456391136284,1.6993449173251491,1.4676764503163306,1.8676519401518377,1.6062405966269226,4.4572689608755605,3.548976173860231,4.904223750117312,3.8774032800545437,,,,,,,,,,,,,,,,,,,,
45,Rht3,10.813639582277046,0.17756019747301535,30.0,1300.0,5.661297327771609,3.7045910556438066,6.342853483739909,4.161503741924159,1.7248095013922915,1.4888046976830478,1.8993352008191458,1.6333897904685364,4.558117669738273,3.6241767356313113,5.027659189674587,3.9725745696825987,0.4741326831660129,0.28887447227577956,0.7630071554417925,0.8926624302891589,0.0908067653095215,0.9834691955986804,0.5258673168339871,0.7111255277242204,0.23699284455820746,0.10733756971084107,0.9091932346904785,0.0165308044013196,0.0862135,0.1213405,0.6134865,0.8838305,0.9137865000000001,0.8786595,0.38651349999999995,0.11616950000000004
46,Rht3,10.988863303393432,0.17951502008797643,30.0,1320.0,5.5999728586941675,3.741512674428464,6.281042132245424,4.185541867945942,1.7586334083771615,1.5096533677325878,1.9382681196837357,1.6564293254829952,4.640856528296403,3.6826526494293894,5.1340474603846875,4.049162216526661,,,,,,,,,,,,,,,,,,,,
47,Rht3,11.164087024509818,0.18151336450811062,30.0,1340.0,5.566331447582821,3.7710229358806946,6.244310130139947,4.2048240322959645,1.7909088100975021,1.528474320132916,1.977242601664498,1.679316607028447,4.71734740767965,3.7289594533157726,5.226518789136306,4.104883833984586,,,,,,,,,,,,,,,,,,,,
48,Rht3,11.339310745626204,0.18355670053713402,30.0,1360.0,5.510685650739228,3.792993531579656,6.188485824208031,4.230301380164855,1.8109599441165798,1.537771741945209,2.008245895860753,1.6985394415203916,4.785045465210271,3.7653078514731115,5.3176337012035795,4.159479235594529,,,,,,,,,,,,,,,,,,,,
49,Rht3,11.51453446674259,0.18564656491590903,30.0,1380.0,5.456323437219474,3.7960313812705677,6.140681429404975,4.234765038223716,1.8172292371120242,1.529341044196668,2.029155779827064,1.7028093834354423,4.8339797618489655,3.780084505113089,5.3961923187094305,4.198748421918449,,,,,,,,,,,,,,,,,,,,
50,Rht3,11.689758187858976,0.18778456517685554,30.0,1400.0,5.35489697852816,3.7761186177244705,6.042832472021515,4.228745993384796,1.8046735891020227,1.5022786755954918,2.0289085084808702,1.6861604969560908,4.8597168525746595,3.767151946547254,5.450946946723254,4.211128043355481,0.5175458670542941,0.21786998114245304,0.7354158481967471,0.9086830908407603,0.07213840867604424,0.9808214995168045,0.48245413294570594,0.782130018857547,0.2645841518032529,0.09131690915923973,0.9278615913239557,0.01917850048319547,0.0973555,0.130929,0.4320095,0.698549,0.9026445,0.869071,0.5679905000000001,0.301451
51,Rht3,11.864981908975361,0.18997238376780093,30.0,1420.0,5.251672136496962,3.731937708483917,5.946956121568868,4.20438836669623,1.7841265007460942,1.4695186320822153,2.017102060517347,1.660162743352727,4.855643888643025,3.7281860827359004,5.472498968389748,4.195289185501185,,,,,,,,,,,,,,,,,,,,
52,Rht3,12.040205630091748,0.19221178246750303,30.0,1440.0,5.107936406074313,3.6699752592988713,5.8048178818982885,4.1611787157265905,1.7633308171991031,1.4392672957385293,2.004010678079318,1.635447784887356,4.822933675817424,3.667452464002463,5.464197344669935,4.155991449183635,,,,,,,,,,,,,,,,,,,,
