TT,daydate
0.0,2011-10-21
4.5625,2011-10-22
10.8583333333,2011-10-23
20.9833333333,2011-10-24
33.775,2011-10-25
45.2125,2011-10-26
55.8083333333,2011-10-27
67.9833333333,2011-10-28
82.3875,2011-10-29
96.1208333333,2011-10-30
107.766666667,2011-10-31
117.8375,2011-11-01
127.816666667,2011-11-02
141.116666667,2011-11-03
156.325,2011-11-04
169.683333333,2011-11-05
183.554166667,2011-11-06
196.475,2011-11-07
206.195833333,2011-11-08
215.9625,2011-11-09
227.654166667,2011-11-10
237.075,2011-11-11
245.4875,2011-11-12
256.5625,2011-11-13
264.6625,2011-11-14
270.883333333,2011-11-15
275.466666667,2011-11-16
278.420833333,2011-11-17
288.295833333,2011-11-18
296.683333333,2011-11-19
303.620833333,2011-11-20
309.7125,2011-11-21
319.295833333,2011-11-22
326.329166667,2011-11-23
334.979166667,2011-11-24
342.291666667,2011-11-25
348.033333333,2011-11-26
354.075,2011-11-27
363.020833333,2011-11-28
370.483333333,2011-11-29
377.970833333,2011-11-30
384.025,2011-12-01
394.808333333,2011-12-02
402.675,2011-12-03
411.9375,2011-12-04
423.125,2011-12-05
429.220833333,2011-12-06
435.445833333,2011-12-07
443.85,2011-12-08
452.0,2011-12-09
460.195833333,2011-12-10
464.5375,2011-12-11
469.295833333,2011-12-12
476.133333333,2011-12-13
485.154166667,2011-12-14
492.166666667,2011-12-15
498.7625,2011-12-16
505.9,2011-12-17
508.9375,2011-12-18
511.516666667,2011-12-19
513.404166667,2011-12-20
520.320833333,2011-12-21
529.016666667,2011-12-22
538.883333333,2011-12-23
546.916666667,2011-12-24
551.441666667,2011-12-25
557.566666667,2011-12-26
562.375,2011-12-27
563.3875,2011-12-28
566.533333333,2011-12-29
570.745833333,2011-12-30
577.85,2011-12-31
589.254166667,2012-01-01
601.570833333,2012-01-02
608.65,2012-01-03
617.504166667,2012-01-04
624.725,2012-01-05
633.495833333,2012-01-06
638.191666667,2012-01-07
646.341666667,2012-01-08
653.2375,2012-01-09
661.1125,2012-01-10
669.283333333,2012-01-11
676.358333333,2012-01-12
678.466666667,2012-01-13
682.2,2012-01-14
683.470833333,2012-01-15
684.6,2012-01-16
685.629166667,2012-01-17
686.516666667,2012-01-18
690.258333333,2012-01-19
700.0,2012-01-20
707.083333333,2012-01-21
716.995833333,2012-01-22
725.375,2012-01-23
732.083333333,2012-01-24
738.7625,2012-01-25
748.0875,2012-01-26
754.641666667,2012-01-27
757.979166667,2012-01-28
761.291666667,2012-01-29
762.733333333,2012-01-30
762.766666667,2012-01-31
762.854166667,2012-02-01
762.854166667,2012-02-02
762.854166667,2012-02-03
762.854166667,2012-02-04
762.854166667,2012-02-05
762.854166667,2012-02-06
762.854166667,2012-02-07
762.854166667,2012-02-08
762.854166667,2012-02-09
762.995833333,2012-02-10
762.995833333,2012-02-11
762.995833333,2012-02-12
763.045833333,2012-02-13
764.6875,2012-02-14
768.408333333,2012-02-15
773.745833333,2012-02-16
779.345833333,2012-02-17
784.991666667,2012-02-18
791.679166667,2012-02-19
795.05,2012-02-20
796.733333333,2012-02-21
799.029166667,2012-02-22
802.720833333,2012-02-23
810.970833333,2012-02-24
820.808333333,2012-02-25
829.725,2012-02-26
836.0375,2012-02-27
841.625,2012-02-28
848.133333333,2012-02-29
856.0875,2012-03-01
864.3875,2012-03-02
872.679166667,2012-03-03
880.179166667,2012-03-04
886.970833333,2012-03-05
892.041666667,2012-03-06
896.604166667,2012-03-07
900.491666667,2012-03-08
905.483333333,2012-03-09
911.8125,2012-03-10
921.066666667,2012-03-11
930.620833333,2012-03-12
940.608333333,2012-03-13
950.0125,2012-03-14
958.783333333,2012-03-15
970.129166667,2012-03-16
983.245833333,2012-03-17
992.541666667,2012-03-18
999.916666667,2012-03-19
1005.725,2012-03-20
1012.13333333,2012-03-21
1022.49166667,2012-03-22
1034.65416667,2012-03-23
1047.6625,2012-03-24
1061.25833333,2012-03-25
1075.82916667,2012-03-26
1090.04166667,2012-03-27
1103.8125,2012-03-28
1117.99166667,2012-03-29
1132.06666667,2012-03-30
1144.54583333,2012-03-31
1153.10416667,2012-04-01
1160.12083333,2012-04-02
1169.50416667,2012-04-03
1179.2875,2012-04-04
1187.55,2012-04-05
1196.02916667,2012-04-06
1204.77916667,2012-04-07
1212.4,2012-04-08
1219.73333333,2012-04-09
1230.58333333,2012-04-10
1239.41666667,2012-04-11
1247.375,2012-04-12
1255.81666667,2012-04-13
1263.37083333,2012-04-14
1271.9,2012-04-15
1278.85,2012-04-16
1284.67916667,2012-04-17
1290.15,2012-04-18
1296.925,2012-04-19
1304.8375,2012-04-20
1313.23333333,2012-04-21
1320.60833333,2012-04-22
1328.33333333,2012-04-23
1335.49166667,2012-04-24
1344.29583333,2012-04-25
1353.1875,2012-04-26
1364.55,2012-04-27
1375.24583333,2012-04-28
1387.67083333,2012-04-29
1400.67916667,2012-04-30
1413.55,2012-05-01
1426.16666667,2012-05-02
1437.1875,2012-05-03
1452.04583333,2012-05-04
1464.91666667,2012-05-05
1476.63333333,2012-05-06
1487.54166667,2012-05-07
1500.14166667,2012-05-08
1514.5875,2012-05-09
1531.47916667,2012-05-10
1552.46666667,2012-05-11
1568.425,2012-05-12
1580.40833333,2012-05-13
1590.24166667,2012-05-14
1602.12916667,2012-05-15
1610.26666667,2012-05-16
1619.3125,2012-05-17
1630.27083333,2012-05-18
1643.59583333,2012-05-19
1657.575,2012-05-20
1672.52083333,2012-05-21
1684.84166667,2012-05-22
1700.325,2012-05-23
1718.21666667,2012-05-24
1738.2,2012-05-25
1758.59583333,2012-05-26
1777.79166667,2012-05-27
1795.49166667,2012-05-28
1813.02083333,2012-05-29
1831.65833333,2012-05-30
1850.25833333,2012-05-31
1866.50833333,2012-06-01
1882.82083333,2012-06-02
1902.45,2012-06-03
1919.22916667,2012-06-04
1931.39583333,2012-06-05
1943.89166667,2012-06-06
1959.74166667,2012-06-07
1976.37083333,2012-06-08
1990.77916667,2012-06-09
2003.2375,2012-06-10
2016.83333333,2012-06-11
2031.14166667,2012-06-12
2043.575,2012-06-13
2056.32083333,2012-06-14
2071.9375,2012-06-15
2088.7125,2012-06-16
2103.34583333,2012-06-17
2119.09583333,2012-06-18
2134.5875,2012-06-19
