axe,hins,rank,ranktop,plant,inerv,x,y,variety_name,side,harvest,relative_ranktop
MS,2.15921437109,1,11.0,5,1538,-0.043359164198,0.0581801368811,Mercia,1,1,5
MS,2.15921437109,1,11.0,5,1538,0.341729461448,0.33542257455,Mercia,1,1,5
MS,2.15921437109,1,11.0,5,1538,0.726818087095,0.612665012219,Mercia,1,1,5
MS,2.15921437109,1,11.0,5,1538,1.11190671274,0.889907449888,Mercia,1,1,5
MS,2.15921437109,1,11.0,5,1538,1.51061006931,1.14677897561,Mercia,1,1,5
MS,2.15921437109,1,11.0,5,1538,1.91405940345,1.39654937745,Mercia,1,1,5
MS,2.15921437109,1,11.0,5,1538,2.31750873758,1.64631977928,Mercia,1,1,5
MS,2.15921437109,1,11.0,5,1538,2.72095807172,1.89609018112,Mercia,1,1,5
MS,2.15921437109,1,11.0,5,1538,3.13414309471,2.12907486536,Mercia,1,1,5
MS,2.15921437109,1,11.0,5,1538,3.55128121286,2.35524384916,Mercia,1,1,5
MS,2.15921437109,1,11.0,5,1538,3.96990035505,2.57857494047,Mercia,1,1,5
MS,2.15921437109,1,11.0,5,1538,4.39399092582,2.79142184938,Mercia,1,1,5
MS,2.15921437109,1,11.0,5,1538,4.8242080639,2.99151989115,Mercia,1,1,5
MS,2.15921437109,1,11.0,5,1538,5.25536244892,3.18966760152,Mercia,1,1,5
MS,2.15921437109,1,11.0,5,1538,5.68651683394,3.38781531189,Mercia,1,1,5
MS,2.15921437109,1,11.0,5,1538,6.12361425836,3.57232680505,Mercia,1,1,5
MS,2.15921437109,1,11.0,5,1538,6.56226869396,3.75326575877,Mercia,1,1,5
MS,2.15921437109,1,11.0,5,1538,7.00373379355,3.92705751859,Mercia,1,1,5
MS,2.15921437109,1,11.0,5,1538,7.44813472664,4.09338379288,Mercia,1,1,5
MS,2.15921437109,1,11.0,5,1538,7.89253565972,4.25971006717,Mercia,1,1,5
MS,1.67166999771,1,12.0,1,10,-0.0311425035187,0.0459108732354,Mercia,1,1,5
MS,1.67166999771,1,12.0,1,10,0.332165250003,0.267331028491,Mercia,1,1,5
MS,1.67166999771,1,12.0,1,10,0.695473003524,0.488751183746,Mercia,1,1,5
MS,1.67166999771,1,12.0,1,10,1.05878075704,0.710171339002,Mercia,1,1,5
MS,1.67166999771,1,12.0,1,10,1.44044994678,0.897887973841,Mercia,1,1,5
MS,1.67166999771,1,12.0,1,10,1.82349653483,1.08307631121,Mercia,1,1,5
MS,1.67166999771,1,12.0,1,10,2.20654312289,1.26826464859,Mercia,1,1,5
MS,1.67166999771,1,12.0,1,10,2.58958971095,1.45345298596,Mercia,1,1,5
MS,1.67166999771,1,12.0,1,10,2.97659166427,1.62966343517,Mercia,1,1,5
MS,1.67166999771,1,12.0,1,10,3.37176242396,1.78733232751,Mercia,1,1,5
MS,1.67166999771,1,12.0,1,10,3.77059451487,1.93540038952,Mercia,1,1,5
MS,1.67166999771,1,12.0,1,10,4.1733773454,2.07206125753,Mercia,1,1,5
MS,1.67166999771,1,12.0,1,10,4.57989109762,2.19762390396,Mercia,1,1,5
MS,1.67166999771,1,12.0,1,10,4.98640484984,2.3231865504,Mercia,1,1,5
MS,1.67166999771,1,12.0,1,10,5.39291860206,2.44874919683,Mercia,1,1,5
MS,1.67166999771,1,12.0,1,10,5.80381267616,2.55882676054,Mercia,1,1,5
MS,1.67166999771,1,12.0,1,10,6.21686687367,2.66056038057,Mercia,1,1,5
MS,1.67166999771,1,12.0,1,10,6.63285707358,2.7498439877,Mercia,1,1,5
MS,1.67166999771,1,12.0,1,10,7.04884727349,2.83912759483,Mercia,1,1,5
MS,1.67166999771,1,12.0,1,10,7.4648374734,2.92841120196,Mercia,1,1,5
MS,2.35914162767,2,10.0,5,1550,-0.0528560308762,0.0458482065432,Mercia,1,1,4
MS,2.35914162767,2,10.0,5,1550,0.301736104298,0.451950615835,Mercia,1,1,4
MS,2.35914162767,2,10.0,5,1550,0.656328239471,0.858053025127,Mercia,1,1,4
MS,2.35914162767,2,10.0,5,1550,1.01092037465,1.26415543442,Mercia,1,1,4
MS,2.35914162767,2,10.0,5,1550,1.38456085404,1.65249895768,Mercia,1,1,4
MS,2.35914162767,2,10.0,5,1550,1.76485345681,2.03464066626,Mercia,1,1,4
MS,2.35914162767,2,10.0,5,1550,2.14514605958,2.41678237485,Mercia,1,1,4
MS,2.35914162767,2,10.0,5,1550,2.52543866235,2.79892408343,Mercia,1,1,4
MS,2.35914162767,2,10.0,5,1550,2.92024242678,3.16580841813,Mercia,1,1,4
MS,2.35914162767,2,10.0,5,1550,3.32095791788,3.52647702552,Mercia,1,1,4
MS,2.35914162767,2,10.0,5,1550,3.72400020452,3.88447885154,Mercia,1,1,4
MS,2.35914162767,2,10.0,5,1550,4.13565382964,4.23261107079,Mercia,1,1,4
MS,2.35914162767,2,10.0,5,1550,4.55739807673,4.5683902223,Mercia,1,1,4
MS,2.35914162767,2,10.0,5,1550,4.98068517838,4.90228059165,Mercia,1,1,4
MS,2.35914162767,2,10.0,5,1550,5.40397228002,5.236170961,Mercia,1,1,4
MS,2.35914162767,2,10.0,5,1550,5.83758864944,5.55641347549,Mercia,1,1,4
MS,2.35914162767,2,10.0,5,1550,6.27389613716,5.87310026921,Mercia,1,1,4
MS,2.35914162767,2,10.0,5,1550,6.71539990186,6.18236354909,Mercia,1,1,4
MS,2.35914162767,2,10.0,5,1550,7.16230807252,6.48390597754,Mercia,1,1,4
MS,2.35914162767,2,10.0,5,1550,7.60921624318,6.78544840598,Mercia,1,1,4
MS,2.15865935921,1,11.0,9,3090,-0.043359164198,0.0581801368811,Mercia,1,1,5
MS,2.15865935921,1,11.0,9,3090,0.341729461448,0.33542257455,Mercia,1,1,5
MS,2.15865935921,1,11.0,9,3090,0.726818087095,0.612665012219,Mercia,1,1,5
MS,2.15865935921,1,11.0,9,3090,1.11190671274,0.889907449888,Mercia,1,1,5
MS,2.15865935921,1,11.0,9,3090,1.51061006931,1.14677897561,Mercia,1,1,5
MS,2.15865935921,1,11.0,9,3090,1.91405940345,1.39654937745,Mercia,1,1,5
MS,2.15865935921,1,11.0,9,3090,2.31750873758,1.64631977928,Mercia,1,1,5
MS,2.15865935921,1,11.0,9,3090,2.72095807172,1.89609018112,Mercia,1,1,5
MS,2.15865935921,1,11.0,9,3090,3.13414309471,2.12907486536,Mercia,1,1,5
MS,2.15865935921,1,11.0,9,3090,3.55128121286,2.35524384916,Mercia,1,1,5
MS,2.15865935921,1,11.0,9,3090,3.96990035505,2.57857494047,Mercia,1,1,5
MS,2.15865935921,1,11.0,9,3090,4.39399092582,2.79142184938,Mercia,1,1,5
MS,2.15865935921,1,11.0,9,3090,4.8242080639,2.99151989115,Mercia,1,1,5
MS,2.15865935921,1,11.0,9,3090,5.25536244892,3.18966760152,Mercia,1,1,5
MS,2.15865935921,1,11.0,9,3090,5.68651683394,3.38781531189,Mercia,1,1,5
MS,2.15865935921,1,11.0,9,3090,6.12361425836,3.57232680505,Mercia,1,1,5
MS,2.15865935921,1,11.0,9,3090,6.56226869396,3.75326575877,Mercia,1,1,5
MS,2.15865935921,1,11.0,9,3090,7.00373379355,3.92705751859,Mercia,1,1,5
MS,2.15865935921,1,11.0,9,3090,7.44813472664,4.09338379288,Mercia,1,1,5
MS,2.15865935921,1,11.0,9,3090,7.89253565972,4.25971006717,Mercia,1,1,5
MS,1.86481115353,2,11.0,1,22,-0.0491869472969,0.0659999651616,Mercia,1,1,4
MS,1.86481115353,2,11.0,1,22,0.387660355567,0.38050577777,Mercia,1,1,4
MS,1.86481115353,2,11.0,1,22,0.824507658431,0.695011590378,Mercia,1,1,4
MS,1.86481115353,2,11.0,1,22,1.26135496129,1.00951740299,Mercia,1,1,4
MS,1.86481115353,2,11.0,1,22,1.71364691271,1.30091430677,Mercia,1,1,4
