index,axe,hins,rank,ranktop,plant,inerv,x,y,variety_name,side,harvest,relative_ranktop
16,MS,2.84445298992,2,12.0,1,22,6.34711541653,2.22251977156,Tremie12,1,1,7
17,MS,2.84445298992,2,12.0,1,22,6.77642252474,2.23419386426,Tremie12,1,1,7
18,MS,2.84445298992,2,12.0,1,22,7.20564434014,2.22178772712,Tremie12,1,1,7
19,MS,2.84445298992,2,12.0,1,22,7.63485797749,2.20707273093,Tremie12,1,1,7
0,MS,6.47744188228,9,5.0,13,6176,-0.0369889695481,0.00441216089289,Tremie12,1,1,1
1,MS,6.47744188228,9,5.0,13,6176,-0.0354483296834,0.0210158467026,Tremie12,1,1,1
2,MS,6.47744188228,9,5.0,13,6176,-0.0339076898187,0.0376195325124,Tremie12,1,1,1
3,MS,6.47744188228,9,5.0,13,6176,-0.032367049954,0.0542232183221,Tremie12,1,1,1
4,MS,6.47744188228,9,5.0,13,6176,-0.0308264100892,0.0708269041319,Tremie12,1,1,1
5,MS,6.47744188228,9,5.0,13,6176,-0.0292857702245,0.0874305899416,Tremie12,1,1,1
6,MS,6.47744188228,9,5.0,13,6176,-0.0277451303598,0.104034275751,Tremie12,1,1,1
7,MS,6.47744188228,9,5.0,13,6176,-0.0262044904951,0.120637961561,Tremie12,1,1,1
8,MS,6.47744188228,9,5.0,13,6176,-0.0246638506303,0.137241647371,Tremie12,1,1,1
9,MS,6.47744188228,9,5.0,13,6176,-0.0231232107656,0.153845333181,Tremie12,1,1,1
10,MS,6.47744188228,9,5.0,13,6176,-0.0215825709009,0.17044901899,Tremie12,1,1,1
11,MS,6.47744188228,9,5.0,13,6176,-0.0200419310362,0.1870527048,Tremie12,1,1,1
12,MS,6.47744188228,9,5.0,13,6176,-0.0185012911714,0.20365639061,Tremie12,1,1,1
13,MS,6.47744188228,9,5.0,13,6176,-0.0169606513067,0.22026007642,Tremie12,1,1,1
14,MS,6.47744188228,9,5.0,13,6176,-0.015420011442,0.236863762229,Tremie12,1,1,1
15,MS,6.47744188228,9,5.0,13,6176,-0.0138793715773,0.253467448039,Tremie12,1,1,1
16,MS,6.47744188228,9,5.0,13,6176,-0.0123387317126,0.270071133849,Tremie12,1,1,1
17,MS,6.47744188228,9,5.0,13,6176,-0.0107980918478,0.286674819658,Tremie12,1,1,1
18,MS,6.47744188228,9,5.0,13,6176,-0.0092574519831,0.303278505468,Tremie12,1,1,1
19,MS,6.47744188228,9,5.0,13,6176,-0.00771681211838,0.319882191278,Tremie12,1,1,1
0,MS,2.84445298993,3,11.0,1,34,-0.0206423079326,0.0172281130107,Tremie12,1,1,6
1,MS,2.84445298993,3,11.0,1,34,0.337041417463,0.255593972922,Tremie12,1,1,6
2,MS,2.84445298993,3,11.0,1,34,0.696069598445,0.491745890411,Tremie12,1,1,6
3,MS,2.84445298993,3,11.0,1,34,1.07252548092,0.699199256584,Tremie12,1,1,6
4,MS,2.84445298993,3,11.0,1,34,1.44898136339,0.906652622757,Tremie12,1,1,6
5,MS,2.84445298993,3,11.0,1,34,1.83645050514,1.09147377489,Tremie12,1,1,6
6,MS,2.84445298993,3,11.0,1,34,2.23199887485,1.25969213835,Tremie12,1,1,6
7,MS,2.84445298993,3,11.0,1,34,2.62754724455,1.42791050181,Tremie12,1,1,6
8,MS,2.84445298993,3,11.0,1,34,3.02739923638,1.58460116642,Tremie12,1,1,6
9,MS,2.84445298993,3,11.0,1,34,3.43641367025,1.71674927827,Tremie12,1,1,6
